UDI,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,y
107,L,298.8,308.7,1445,48.5,70,0
6330,M,300.7,310.0,1641,34.6,178,0
3563,L,301.7,310.6,1471,43.8,80,0
2250,L,299.2,308.5,1442,46.5,11,0
7625,L,300.6,311.7,1507,45.5,74,0
8312,M,298.8,310.0,1295,52.7,74,0
8548,M,298.4,309.4,1666,24.3,68,0
9589,H,299.3,310.4,1510,45.5,27,0
400,L,297.4,308.4,1392,49.7,174,0
8825,M,297.3,308.9,1799,24.5,137,0
4884,M,303.8,312.6,1684,29.3,167,0
4336,L,301.7,309.9,1607,37.7,93,0
9712,H,299.1,310.1,1429,42.9,96,0
6564,L,301.5,310.7,1942,20.5,155,0
5716,H,302.2,311.9,1597,35.8,160,0
1459,L,298.9,310.3,1364,54.0,95,0
1477,L,298.4,309.5,1692,28.3,136,0
5155,L,304.2,313.4,1568,37.6,25,0
6732,L,301.6,310.9,1385,51.2,132,0
5912,M,300.8,310.4,1288,64.0,3,0
2595,L,298.8,308.5,1446,37.0,11,0
3054,H,300.2,309.3,1506,35.6,63,0
5617,L,303.0,312.3,1480,41.4,125,0
5921,L,300.5,310.2,1764,25.9,27,0
9957,M,298.2,307.8,1578,34.5,127,0
288,L,298.2,308.3,1805,31.6,96,0
9044,L,297.4,308.4,1343,40.0,61,0
362,L,297.5,308.3,1596,36.8,77,0
1456,L,299.0,310.4,1382,53.0,89,0
4974,L,303.8,312.7,1461,38.2,188,0
8019,L,301.0,311.9,1889,23.5,198,0
3225,M,300.6,309.5,1557,33.8,84,0
2404,H,299.2,308.7,1448,51.4,173,0
5456,M,303.1,312.6,1895,23.5,129,0
5984,H,300.8,310.8,1466,45.2,188,0
591,L,297.5,309.4,1517,36.7,233,0
2878,M,300.5,309.4,1655,32.1,37,0
3062,L,300.1,309.1,1353,58.7,86,0
3412,L,301.3,310.3,1419,55.7,125,0
7901,L,300.8,312.4,1825,23.8,127,0
4458,M,302.5,310.3,1710,27.3,186,0
3472,L,301.8,310.7,1441,49.3,58,0
7754,M,300.5,311.8,1591,42.0,182,0
4485,M,302.6,310.4,1451,43.1,35,0
8823,L,297.4,308.8,1462,49.7,132,0
9663,M,299.1,310.1,1570,30.9,226,0
187,L,298.1,308.3,1301,56.0,63,0
1166,L,297.1,308.1,1487,34.6,208,0
8159,L,299.6,310.8,1400,40.8,118,0
3296,L,301.1,310.2,1496,43.4,54,0
4512,L,302.5,310.2,1454,43.0,108,0
6162,L,301.0,310.9,1479,44.3,194,0
8551,L,298.3,309.2,1456,45.5,75,0
3854,L,302.4,311.0,1486,40.4,192,0
5973,L,300.5,310.8,1445,46.6,155,0
161,L,298.4,308.2,1282,60.7,216,1
2020,M,298.7,308.5,1660,27.0,50,0
6083,L,300.9,310.7,1352,46.4,212,0
2747,L,299.7,309.2,1411,46.1,173,0
9775,H,298.6,309.5,1375,41.0,39,0
1115,H,296.4,307.3,1540,37.4,75,0
9722,L,298.8,309.8,1490,40.6,124,0
5234,L,303.6,312.9,1450,45.3,29,0
6651,L,301.6,310.4,1561,35.3,156,0
9421,L,298.0,308.4,1472,42.0,15,0
9057,L,297.3,308.3,1430,41.9,95,0
4651,L,303.3,311.4,1658,30.5,7,0
730,L,297.3,308.6,1586,37.7,155,0
9492,M,299.0,309.7,1489,40.7,212,0
9807,L,298.3,309.1,1417,60.5,143,0
6268,L,300.8,310.4,1570,35.2,23,0
6373,M,300.0,309.5,1879,22.4,79,0
4558,L,302.7,310.6,1686,26.3,9,0
6313,M,300.9,310.2,1533,38.1,137,0
391,L,297.6,308.7,1460,46.7,150,0
3491,M,301.9,310.9,1763,28.4,103,0
1318,L,299.0,310.3,1428,46.3,175,0
3263,L,301.3,310.1,1558,36.3,184,0
933,L,295.6,306.0,1363,50.0,14,0
5031,M,303.9,313.1,1437,48.3,110,0
8367,M,298.9,309.8,1836,22.8,18,0
7034,M,300.7,310.8,1469,46.4,75,0
5852,L,301.2,311.0,1573,32.8,57,0
5969,L,300.4,310.8,1348,56.0,146,0
2243,L,299.2,308.4,1667,29.0,199,0
1085,M,297.0,307.7,1498,47.1,199,0
3679,L,302.2,311.5,1567,33.1,168,0
1021,L,296.3,307.3,1372,57.7,33,0
7169,L,300.3,310.3,1704,29.5,0,0
5531,M,302.3,311.8,1355,50.1,104,0
3193,M,300.1,309.2,1418,39.8,221,0
4615,H,303.0,311.2,1503,37.0,152,0
9641,L,299.4,310.5,1514,36.1,169,0
2842,L,300.3,309.4,1705,29.4,190,0
5228,L,303.9,313.1,1440,41.1,12,0
9073,H,297.2,308.1,1770,27.2,140,0
7152,H,300.2,309.9,1906,22.9,165,0
4704,M,303.6,311.8,1432,42.5,150,0
9746,L,298.8,310.0,1611,32.4,183,0
3589,M,301.7,310.6,1505,44.5,146,0
3332,L,301.7,310.8,1559,44.5,135,0
8672,L,297.5,308.8,1530,37.8,157,0
3930,M,302.7,311.6,1501,38.8,171,0
4370,H,302.0,309.9,1735,27.2,192,0
1874,L,298.4,308.1,1367,57.8,92,0
2327,M,299.4,308.7,1487,52.6,205,0
8617,L,297.6,308.6,1355,46.4,13,0
1830,L,297.8,307.2,1880,23.0,176,0
961,L,295.8,306.5,1534,37.9,88,0
317,L,297.8,308.4,1714,33.2,177,0
5063,L,304.0,312.9,1313,53.9,202,0
3220,M,300.6,309.6,1503,38.4,68,0
5345,L,303.4,312.8,1360,50.8,94,0
8683,M,297.2,308.5,1353,46.5,185,0
644,M,297.8,309.4,1495,36.5,132,0
6539,L,301.4,310.7,1487,44.6,88,0
2457,L,299.1,308.6,1555,36.6,104,0
1932,M,298.2,308.0,1969,21.7,32,0
9280,M,298.2,308.8,1645,28.2,58,0
1493,M,298.0,308.7,1479,58.5,176,1
1280,M,298.3,309.6,1531,40.1,81,0
3713,L,302.3,311.5,1543,33.1,39,0
9735,H,298.9,310.1,1458,44.3,156,0
5359,H,303.3,312.6,1827,24.2,132,0
7484,L,300.2,311.6,1671,28.8,149,0
8835,L,297.4,308.8,1473,46.2,167,0
734,M,297.1,308.4,1421,42.0,165,0
9552,L,299.4,310.8,1391,48.9,139,0
9966,L,298.3,307.9,1703,28.9,147,0
5378,L,302.9,312.4,2030,19.1,192,0
7743,M,300.5,311.9,1323,57.9,155,0
7014,M,300.4,310.4,1544,36.3,21,0
6873,L,301.0,311.3,1472,35.3,73,0
6918,L,301.0,311.4,1481,37.5,193,0
5525,L,302.6,311.9,1633,30.9,89,0
8575,L,297.6,308.3,1424,53.9,132,0
1495,M,298.0,308.7,1377,48.5,181,0
1995,M,298.2,307.9,1403,45.1,193,0
5333,H,303.6,312.7,1403,46.2,57,0
968,M,295.9,306.6,1532,38.6,104,0
1038,H,296.4,307.5,1596,35.1,75,0
9206,L,297.8,308.8,1579,32.9,70,0
4543,M,302.5,310.4,1581,32.7,181,0
7527,L,300.1,311.4,1660,31.4,38,0
3160,H,300.4,309.8,1409,47.5,138,0
984,L,296.2,306.9,1526,34.9,140,0
6236,L,301.3,310.9,1596,33.9,157,0
2064,L,299.7,309.6,1321,53.4,166,0
3389,M,301.7,310.9,1435,48.0,66,0
1222,M,297.0,308.3,1399,46.4,132,0
4470,L,302.7,310.5,1446,40.9,211,1
2169,M,299.5,309.1,1420,49.5,5,0
6689,L,301.7,311.0,1548,40.3,21,0
2186,L,299.8,309.4,1630,32.4,53,0
1757,M,298.1,307.4,1363,60.1,187,0
4093,H,302.0,310.5,1812,24.4,138,0
6764,M,301.4,310.8,1782,26.5,6,0
8221,M,298.9,310.3,1551,35.2,50,0
1123,L,296.5,307.6,1541,38.5,98,0
5446,M,303.0,312.8,1648,32.1,104,0
8572,L,297.9,308.6,2262,15.7,125,0
186,L,298.2,308.2,1446,38.2,61,0
418,L,297.4,308.4,1394,50.1,213,0
6858,L,301.1,311.3,1622,35.6,34,0
8748,L,297.3,308.5,1504,42.0,142,0
9898,L,298.8,309.3,1357,47.1,176,0
2414,L,299.0,308.5,1886,23.0,198,0
7924,M,300.8,312.0,1450,45.0,183,0
5812,L,301.3,311.1,1454,40.3,191,0
3818,M,302.1,310.6,1421,52.0,95,0
9030,L,297.4,308.3,1483,38.8,23,0
8247,L,299.0,310.3,1552,39.9,114,0
3612,L,301.7,310.9,1405,46.4,207,1
385,L,297.5,308.5,1712,26.8,136,0
7528,L,300.1,311.3,1470,45.2,40,0
6151,L,301.1,311.1,1711,29.1,170,0
4279,L,302.0,310.1,1409,50.4,172,0
5682,L,302.2,311.6,1383,44.3,72,0
2857,H,300.5,309.3,1471,45.2,223,0
6776,L,301.2,310.6,1670,30.0,40,0
8929,L,297.4,308.4,1531,41.5,213,0
3823,M,302.4,311.0,1464,44.2,106,0
7069,L,300.8,310.7,1461,42.8,173,0
4696,L,303.3,311.6,1514,34.7,130,0
3749,L,302.5,311.1,1493,39.0,137,0
6948,M,300.7,311.3,1562,37.1,58,0
6089,L,300.9,310.8,1476,39.0,10,0
1044,L,296.5,307.6,1431,45.2,90,0
9788,H,298.6,309.5,1420,50.4,82,0
3740,M,302.2,311.2,1663,29.6,115,0
5449,L,303.0,312.7,1551,41.8,111,0
6163,L,301.0,310.8,1558,34.9,196,0
4966,M,303.8,312.7,1364,49.3,167,0
5962,L,300.3,310.7,1539,32.3,123,0
3494,M,301.9,311.0,1638,35.4,116,0
3348,L,301.3,310.6,1529,41.8,176,0
7637,L,300.4,311.5,1704,29.7,103,0
1969,L,298.0,307.6,1281,50.8,122,0
7772,L,300.3,311.6,1709,29.5,27,0
5931,L,300.3,310.3,1483,51.6,50,0
6149,L,301.1,311.2,1564,37.0,165,0
4158,L,302.0,310.5,1263,60.6,90,1
7285,M,300.1,310.3,1345,57.1,71,0
1347,L,298.6,310.1,1533,33.9,24,0
7275,M,300.2,310.3,1478,38.1,45,0
6055,H,300.7,310.8,1518,40.1,142,0
4327,L,301.6,310.1,1362,55.8,70,1
7638,H,300.4,311.4,1445,52.4,105,0
8351,M,298.7,309.6,1382,48.1,186,0
4918,M,303.4,312.2,1561,38.2,45,0
6614,L,301.7,310.6,1513,41.1,64,0
2740,L,299.8,309.2,1572,35.4,158,0
1256,H,297.5,308.9,1419,50.7,7,0
6718,M,301.4,310.6,1464,48.6,96,0
2504,L,299.2,309.0,1408,47.2,0,0
9157,M,297.5,308.4,1369,54.8,145,0
7584,L,300.3,311.1,1480,46.6,185,0
1173,L,297.1,308.1,1446,36.6,227,0
5767,M,301.7,311.2,1413,42.6,79,0
3014,L,300.5,309.6,1390,48.4,194,0
8729,M,297.2,308.7,1398,38.1,88,0
9060,L,297.2,308.3,1805,25.6,103,0
4644,L,303.2,311.4,1324,54.2,228,1
2476,L,298.9,308.5,1459,43.1,147,0
578,L,297.7,309.7,1591,37.7,196,0
4332,M,301.6,309.9,1746,31.1,83,0
191,L,298.2,308.4,1477,49.9,72,0
1124,H,296.6,307.7,1386,62.3,100,1
8331,L,298.8,309.7,1505,39.0,131,0
3159,L,300.4,309.7,1679,30.1,136,0
6558,M,301.5,310.6,1638,31.9,137,0
2291,M,299.5,308.7,1321,51.9,114,0
3345,L,301.4,310.7,1706,27.9,170,0
9114,L,297.6,308.6,1744,28.5,42,0
1168,L,297.0,308.1,1362,52.5,213,1
9808,L,298.2,309.0,1413,55.0,145,0
4749,L,303.2,311.2,1363,46.7,29,1
1020,L,296.3,307.3,1398,52.7,31,0
5755,L,302.1,311.5,1727,27.7,50,0
2126,L,299.3,308.9,1258,69.4,119,1
3902,H,302.2,311.1,1553,34.1,89,0
677,H,297.9,309.2,1577,34.7,5,0
8229,M,299.1,310.4,1422,49.3,69,0
6636,L,301.5,310.5,1534,39.3,119,0
6501,M,300.9,310.0,1416,46.6,201,0
7145,M,300.4,309.8,1517,40.3,149,0
4241,L,302.4,311.1,1905,20.9,77,0
7765,M,300.4,311.7,1555,38.7,5,0
3144,H,300.6,310.0,1419,42.4,90,0
7011,M,300.5,310.5,1469,42.9,14,0
1931,M,298.1,307.9,1569,37.0,29,0
3175,L,300.3,309.6,1600,34.6,177,0
5949,L,300.7,310.8,2113,18.5,95,0
3684,M,302.0,311.2,1558,39.1,179,0
5292,L,303.8,313.3,1406,52.1,166,0
1335,L,299.0,310.4,1365,49.1,226,1
6687,L,301.7,311.0,1715,24.8,17,0
2623,M,299.6,309.4,1642,30.3,80,0
8836,H,297.4,308.8,1324,53.5,169,0
3837,L,302.4,311.2,1466,43.9,152,0
5837,L,301.2,311.1,1550,39.7,20,0
2941,L,300.9,309.7,2355,14.4,201,0
7207,L,299.8,309.7,1457,51.9,89,0
1591,L,298.2,308.4,1497,37.7,207,0
5967,L,300.4,310.8,1396,49.3,142,0
4653,L,303.1,311.2,1452,52.9,11,0
8733,L,297.2,308.6,1864,23.6,103,0
7856,M,300.3,311.8,1592,32.1,11,0
8581,L,297.5,308.1,1631,30.6,146,0
7273,L,300.2,310.3,1202,59.5,40,0
5763,L,301.8,311.2,1334,52.3,68,0
4264,L,302.6,311.0,1620,36.2,139,0
7970,L,300.9,312.1,1711,28.8,74,0
3079,M,300.1,309.4,1349,56.2,127,0
5083,H,304.1,313.2,1590,43.4,52,0
8977,L,296.7,307.4,1535,34.6,114,0
6719,L,301.4,310.6,2137,18.0,99,0
9246,L,298.3,308.9,1708,27.3,170,0
3032,M,300.5,309.7,1389,43.3,9,0
19,H,298.8,309.2,1306,54.5,50,0
8673,L,297.5,308.8,1312,50.3,159,0
1223,L,297.0,308.3,1399,59.0,135,0
4631,L,302.9,311.2,1751,23.8,196,0
8452,L,298.5,310.0,1435,42.5,25,0
9175,L,297.8,308.9,1871,25.6,200,1
1786,L,298.2,308.0,1538,38.2,59,0
8667,L,297.5,308.7,1407,42.5,145,0
2325,L,299.3,308.8,1636,29.9,201,0
4365,H,302.1,310.1,1615,29.9,176,0
2872,M,300.7,309.6,1536,37.2,19,0
5923,L,300.5,310.3,1435,43.3,31,0
7077,L,300.7,310.5,1960,21.0,194,0
1417,M,298.7,309.9,2083,18.2,205,0
5800,L,301.5,310.8,1593,34.5,162,0
7236,L,299.8,310.0,1361,53.8,167,0
5745,H,302.2,311.5,1482,42.6,16,0
2393,L,299.2,308.5,1340,50.0,144,0
8005,L,300.9,312.0,1533,44.0,162,0
8758,L,297.5,308.8,1587,34.9,166,0
4474,L,302.7,310.5,1551,35.9,6,0
8355,L,298.6,309.6,1390,50.3,196,0
470,M,297.3,308.8,1586,32.7,131,0
9329,H,298.5,309.1,2051,19.0,184,0
1873,L,298.3,308.1,1326,58.4,90,0
7070,L,300.8,310.7,1525,39.4,175,0
3852,H,302.2,310.9,1415,48.4,185,0
629,M,298.4,310.1,1335,57.8,96,0
3574,L,301.8,310.6,1452,48.4,110,0
6646,M,301.5,310.4,1486,39.6,144,0
3597,L,301.7,310.5,1354,50.0,169,0
823,M,296.7,307.6,1547,34.7,150,0
4271,L,302.6,310.9,1331,52.0,154,1
9874,L,298.9,309.8,1616,36.5,110,0
2082,M,299.4,309.3,1485,47.1,209,0
1743,L,298.5,308.0,1379,49.6,152,0
3010,M,300.4,309.7,1466,39.8,184,0
2648,L,299.8,309.4,1408,45.6,156,0
4314,L,301.4,310.1,1502,46.6,37,0
8888,L,297.8,308.9,1530,37.6,106,0
4674,L,303.4,311.5,1501,36.2,69,0
5154,L,304.2,313.4,1644,31.7,23,0
8455,L,298.6,310.0,1522,40.3,32,0
7389,M,299.8,310.6,1694,31.3,121,0
5387,L,302.9,312.2,1469,42.0,214,0
3256,L,301.0,309.7,1491,42.9,165,0
6030,M,300.7,310.8,1452,47.9,77,0
9910,L,298.7,309.1,1607,32.7,2,0
1361,H,298.8,310.2,1707,27.6,56,0
2936,M,300.8,309.7,1680,28.2,189,0
9525,H,299.0,310.3,1658,27.6,69,0
2814,L,300.0,309.3,1887,22.6,120,0
2002,L,298.4,308.2,1604,34.9,11,0
2782,L,300.2,309.5,2183,17.8,39,0
2132,L,299.4,309.1,1432,45.4,137,0
1342,M,298.6,310.2,1328,50.5,12,0
3066,M,300.1,309.2,1687,27.7,95,0
7734,L,300.6,312.0,1481,40.9,132,0
8481,L,298.4,309.6,1477,35.6,101,0
2147,L,299.3,308.8,1647,32.9,172,0
9010,L,297.3,307.9,1579,34.4,193,0
9799,L,298.5,309.3,1471,44.7,119,0
397,L,297.4,308.3,1490,42.6,164,0
9834,L,298.3,309.1,1386,45.3,212,0
2469,M,298.9,308.6,1524,40.4,131,0
7266,L,300.4,310.6,1384,48.7,24,0
7737,H,300.6,312.1,1354,46.9,138,0
9654,L,299.0,309.9,1373,55.7,201,1
1023,L,296.2,307.2,1515,36.5,38,0
1145,L,297.0,307.9,1296,69.1,153,1
222,H,298.4,308.5,1827,24.3,153,0
9394,H,297.7,308.2,1489,43.0,151,0
9848,L,298.4,309.1,1362,46.1,37,0
1707,L,298.2,307.8,1521,42.9,60,0
8023,L,300.9,312.0,1441,43.8,210,0
1160,L,297.0,307.8,1609,35.6,193,0
2880,M,300.6,309.4,1367,63.2,45,1
6066,L,301.0,310.9,1568,38.2,172,0
3158,M,300.4,309.7,1488,42.2,133,0
1019,L,296.3,307.2,1291,58.6,29,0
2652,L,299.9,309.5,2008,20.4,165,0
7922,L,300.7,311.9,1419,47.7,179,0
2395,L,299.2,308.5,1488,40.3,148,0
