UDI,Rotational speed,Torque,Tool wear,y
211,1523,36.1,126,0
212,1575,33.9,128,0
213,1344,52.9,130,0
214,1386,44.9,135,0
215,1589,37.1,137,0
216,1548,40.3,140,0
217,1499,38.3,142,0
218,1664,31.6,144,0
219,1447,38.1,146,0
220,1434,46.2,148,0
221,1416,52.7,151,0
222,1827,24.3,153,0
223,1304,45.0,158,0
224,1569,34.4,160,0
225,1584,29.3,162,0
226,1362,53.8,164,0
227,1329,49.2,166,0
228,1539,36.1,168,0
229,1629,37.1,170,0
230,1538,32.2,173,0
231,1570,34.8,175,0
232,1408,43.1,177,0
233,1424,47.6,179,0
234,1512,34.9,181,0
235,1478,42.9,183,0
236,1680,33.7,185,0
237,1495,38.7,188,0
238,1552,36.6,190,0
239,1393,50.3,193,0
240,1611,30.6,195,0
241,1339,51.6,197,0
242,1777,24.3,200,0
243,1348,58.8,202,1
244,1442,44.1,204,0
245,1395,49.1,206,0
246,1627,31.4,209,0
247,1585,33.5,212,0
248,1469,45.5,214,0
249,1362,56.8,216,1
250,1405,56.2,218,1
251,1662,32.7,0,0
252,1466,42.6,2,0
253,1620,35.8,5,0
254,1357,48.2,7,0
255,1514,37.9,9,0
256,1489,40.4,11,0
257,1331,63.0,13,0
258,1615,29.5,15,0
259,1482,37.9,17,0
260,1420,63.9,19,1
261,1522,49.1,22,0
262,1654,32.1,25,0
263,1736,26.8,27,0
264,1587,32.3,30,0
265,1390,47.5,33,0
266,1454,37.1,35,0
267,1440,43.7,37,0
268,1954,21.1,42,0
269,1800,24.8,44,0
270,1524,37.0,49,0
271,1520,39.6,51,0
272,1452,40.8,56,0
273,1484,40.4,59,0
274,1426,46.0,61,0
275,1652,28.5,63,0
276,1401,54.7,65,0
277,1750,26.6,67,0
278,1479,50.7,70,0
279,1620,29.4,75,0
280,1819,23.4,78,0
281,1456,43.7,80,0
282,1626,36.5,83,0
283,1390,49.8,85,0
284,1469,43.0,88,0
285,2051,19.2,90,0
286,1568,36.0,92,0
287,1589,33.2,94,0
288,1805,31.6,96,0
289,1385,42.2,98,0
290,1436,46.7,103,0
291,1438,45.6,105,0
292,1473,42.6,107,0
293,1335,40.2,109,0
294,1392,44.8,111,0
295,1372,51.1,116,0
296,1716,30.7,119,0
297,1395,46.2,122,0
298,1713,25.3,124,0
299,2129,18.7,126,0
300,1567,35.6,131,0
301,1622,38.3,134,0
302,1740,27.1,136,0
303,1512,35.1,138,0
304,1479,43.5,143,0
305,1737,27.5,146,0
306,2129,19.2,148,0
307,1374,47.1,150,0
308,1579,36.6,152,0
309,1305,47.2,155,0
310,1449,40.8,157,0
311,1526,41.8,160,0
312,1453,44.1,165,0
313,1468,36.0,168,0
314,1313,50.8,170,0
315,1300,53.0,172,0
316,1646,40.6,175,0
317,1714,33.2,177,0
318,1685,28.4,179,0
319,1512,39.9,181,0
320,1612,32.1,183,0
321,1550,38.2,185,0
322,1518,32.5,190,0
323,1448,40.0,192,0
324,1561,46.3,194,0
325,1488,41.9,196,0
326,1699,27.8,199,0
327,1501,41.4,201,0
328,1373,56.7,203,1
329,1703,31.4,205,0
330,1720,29.9,210,0
331,1398,41.9,215,0
332,1391,51.9,218,0
333,1538,40.2,0,0
334,1647,31.3,3,0
335,1469,44.8,5,0
336,1749,25.9,8,0
337,1995,20.5,10,0
338,1742,27.7,13,0
339,1563,38.2,15,0
340,1713,32.2,17,0
341,1474,39.4,20,0
342,1530,32.6,22,0
343,1471,46.5,25,0
344,1388,48.6,27,0
345,2448,13.8,29,0
346,1585,32.9,32,0
347,1459,45.2,34,0
348,1544,40.8,37,0
349,1617,31.7,39,0
350,1595,34.3,41,0
351,1400,44.3,43,0
352,1611,31.0,48,0
353,1507,46.0,51,0
354,1674,30.0,54,0
355,1658,34.3,59,0
356,1623,36.9,61,0
357,1398,48.9,63,0
358,1517,34.2,66,0
359,1467,36.7,68,0
360,1567,34.6,71,0
361,1521,38.2,74,0
362,1596,36.8,77,0
363,1640,30.9,79,0
364,1438,47.8,84,0
365,1407,55.2,86,0
366,1353,57.5,88,0
367,1552,40.9,90,0
368,1569,38.3,93,0
369,1489,39.5,96,0
370,1587,36.1,98,0
371,1622,37.2,103,0
372,1604,38.1,106,0
373,1405,51.7,108,0
374,1412,42.0,111,0
375,1431,43.0,113,0
376,1533,37.4,115,0
377,1401,51.9,117,0
378,1424,53.9,120,0
379,1754,29.4,123,0
380,1754,26.8,125,0
381,2564,12.8,127,1
382,1546,40.4,129,0
383,1335,48.0,131,0
384,1842,27.0,133,0
385,1712,26.8,136,0
386,1414,45.4,138,0
387,1319,50.9,141,0
388,1249,60.4,143,0
389,1455,48.2,145,0
390,1408,54.8,147,0
391,1460,46.7,150,0
392,1491,38.1,152,0
393,1490,43.4,154,0
394,1350,52.2,157,0
395,1528,39.9,160,0
396,1571,37.7,162,0
397,1490,42.6,164,0
398,1774,28.9,166,0
399,1502,43.6,169,0
400,1392,49.7,174,0
401,2100,16.9,176,0
402,1722,30.4,178,0
403,1678,32.3,180,0
404,1273,59.8,182,0
405,1297,45.9,184,0
406,1350,57.6,186,0
407,1439,51.9,188,0
408,1600,42.1,190,0
409,1434,44.4,193,0
410,1459,41.3,196,0
411,1472,44.9,198,0
412,1429,44.3,201,0
413,1388,48.2,203,0
414,1573,34.5,205,0
415,1588,32.5,207,0
416,1511,42.8,209,0
417,1495,37.8,211,0
418,1394,50.1,213,0
419,2151,17.7,0,0
420,1501,38.2,2,0
421,1301,39.6,5,0
422,1657,31.1,8,0
423,1333,55.2,11,0
424,1484,43.9,13,0
425,1430,45.7,15,0
426,1665,28.9,17,0
427,1501,44.9,20,0
428,1496,42.2,22,0
429,1595,36.9,25,0
430,1208,62.3,28,0
431,1596,37.1,30,0
432,1446,41.9,32,0
433,1466,39.7,34,0
434,1848,23.7,37,0
435,1484,44.7,40,0
436,1493,41.2,43,0
437,1504,36.3,45,0
438,1538,38.5,47,0
439,1341,52.2,49,0
440,1535,34.6,51,0
441,1389,39.2,54,0
442,1393,46.6,56,0
443,1399,61.5,61,1
444,1469,45.1,63,0
445,1582,37.2,68,0
446,1793,26.7,70,0
447,1452,39.0,72,0
448,1376,59.9,74,0
449,1552,44.9,77,0
450,1622,37.9,79,0
451,1419,41.7,81,0
452,1440,46.1,84,0
453,1643,31.0,89,0
454,1510,36.2,92,0
455,1468,46.6,94,0
456,1429,57.4,96,0
457,1478,47.6,98,0
458,1276,53.6,103,0
459,1486,42.6,105,0
460,1476,42.3,107,0
461,1431,42.0,109,0
462,1402,40.2,114,0
463,1433,43.4,116,0
464,2874,4.2,118,1
465,1511,35.7,120,0
466,1456,42.9,122,0
467,1550,41.5,125,0
468,2182,16.5,127,0
469,1619,31.6,129,0
470,1586,32.7,131,0
471,1499,44.2,134,0
472,1419,42.4,139,0
473,1497,41.8,144,0
474,1520,37.0,147,0
475,1478,49.8,150,0
476,1380,41.1,152,0
477,1570,37.9,154,0
478,1468,41.4,156,0
479,1833,22.6,161,0
480,1323,57.3,163,0
481,1583,32.0,166,0
482,1556,39.5,168,0
483,1548,37.4,171,0
484,1324,56.9,173,0
485,1568,33.7,175,0
486,1685,30.7,177,0
487,1582,35.9,180,0
488,1463,35.0,183,0
489,1584,42.8,186,0
490,1347,55.8,188,0
491,1459,37.9,191,0
492,1420,45.6,193,0
493,1404,43.5,195,0
494,1470,38.8,197,0
495,1326,49.8,199,0
496,1459,49.7,201,0
497,1530,40.0,206,0
498,1505,39.2,209,0
499,1611,30.2,211,0
500,1515,35.1,213,0
501,1804,27.4,215,0
502,1464,46.2,218,0
503,1390,43.3,221,0
504,1442,48.1,0,0
505,1529,41.9,3,0
506,1610,35.0,6,0
507,1543,34.3,8,0
508,1445,48.2,10,0
509,1893,24.6,15,0
510,1415,41.3,17,0
511,1564,37.5,20,0
512,1479,39.4,22,0
513,1426,44.8,24,0
514,1428,38.8,26,0
515,1620,33.2,28,0
516,1715,28.0,30,0
517,1732,29.9,32,0
518,1391,58.2,34,0
519,1924,20.6,37,0
520,2027,19.8,39,0
521,1617,36.2,42,0
522,1497,35.8,44,0
523,1448,43.7,46,0
524,1401,45.9,49,0
525,1620,35.4,51,0
526,1466,45.5,53,0
527,1373,50.6,55,0
528,1592,35.8,57,0
529,1553,42.4,60,0
530,1569,36.2,63,0
531,1709,32.2,65,0
532,1549,34.9,68,0
533,1443,45.4,70,0
534,1675,29.8,72,0
535,1623,33.4,74,0
536,1365,52.4,76,0
537,1759,24.8,81,0
538,1516,43.0,83,0
539,1499,36.8,88,0
540,1775,25.8,91,0
541,1473,45.5,94,0
542,1296,52.3,96,0
543,1803,24.7,98,0
544,1563,36.1,100,0
545,1831,26.6,105,0
546,1958,22.1,108,0
547,1809,24.3,110,0
548,1482,39.3,112,0
549,1332,53.2,115,0
550,1437,40.4,117,0
551,1698,29.4,119,0
552,1274,54.3,121,0
553,1622,35.0,123,0
554,1564,36.0,126,0
555,1368,45.3,129,0
556,1539,42.2,134,0
557,1357,50.1,137,0
558,1433,48.3,139,0
559,1650,34.6,142,0
560,1503,40.6,144,0
561,1318,58.2,146,0
562,1678,34.4,148,0
563,1574,30.9,151,0
564,1529,35.2,153,0
565,1669,32.1,155,0
566,1570,35.8,160,0
567,1541,33.7,165,0
568,1680,30.2,168,0
569,1935,22.1,171,0
570,1596,35.2,173,0
571,1498,41.0,176,0
572,1676,29.0,178,0
573,1351,49.0,181,0
574,1472,45.0,183,0
575,1439,41.7,185,0
576,1410,55.4,188,0
577,1440,51.1,191,0
578,1591,37.7,196,0
579,1533,36.8,198,0
580,1700,31.3,200,0
581,1798,25.5,203,0
582,1394,42.9,206,0
583,1341,49.2,208,0
584,1697,32.2,210,0
585,1419,48.2,215,0
586,2001,20.5,220,0
587,1501,49.8,222,1
588,1623,33.1,224,0
589,1628,33.4,229,0
590,1491,40.2,231,0
591,1517,36.7,233,0
592,1525,41.7,235,0
593,1668,27.9,240,0
594,1312,50.7,0,0
595,1278,50.4,2,0
596,1330,53.1,7,0
597,1530,37.3,10,0
598,1428,46.6,13,0
599,1480,47.9,18,0
600,1616,31.1,20,0
601,1547,37.3,25,0
602,2194,16.8,27,0
603,2000,21.3,29,0
604,1336,71.6,31,1
605,1542,33.8,33,0
606,1693,29.9,35,0
607,1461,50.5,38,0
608,1565,33.9,40,0
609,1403,47.7,43,0
610,1629,32.5,45,0
611,1534,33.7,47,0
612,1553,40.9,49,0
613,1563,32.8,51,0
614,1634,30.0,53,0
615,1445,45.2,55,0
616,1642,30.4,58,0
617,1686,29.1,60,0
618,1393,43.1,65,0
619,1433,44.2,68,0
620,1507,44.7,73,0
621,1389,49.6,75,0
622,1408,45.3,78,0
623,1725,32.0,80,0
624,1926,23.7,83,0
625,1509,37.6,85,0
626,1545,36.3,90,0
627,1533,35.2,92,0
628,1455,42.2,94,0
629,1335,57.8,96,0
630,1523,45.9,99,0
631,1460,47.6,101,0
632,1554,37.3,103,0
633,1419,47.1,105,0
634,1442,43.9,110,0
635,1507,41.6,112,0
636,1858,23.9,114,0
637,1463,43.9,116,0
638,1585,37.4,118,0
639,1536,37.3,120,0
640,1403,51.3,122,0
641,1515,38.8,124,0
642,1390,47.9,127,0
643,1226,58.7,129,0
644,1495,36.5,132,0
645,1608,30.2,135,0
646,1392,44.1,140,0
647,1461,43.7,142,0
648,1559,36.9,145,0
649,1400,48.9,147,0
650,1732,28.8,152,0
651,1611,33.1,155,0
652,1503,38.9,157,0
653,1391,44.5,159,0
654,2015,20.1,161,0
655,1683,30.9,163,0
656,1435,38.8,165,0
657,1732,28.1,167,0
658,1365,58.6,170,0
659,1562,36.8,172,0
660,1449,49.1,174,0
661,1700,27.4,176,0
662,1427,45.6,179,0
663,1479,38.1,182,0
664,1469,44.0,185,0
665,1390,47.4,187,0
666,1729,28.1,189,0
667,1470,43.5,191,0
668,1459,48.5,193,0
669,1738,24.0,195,0
670,1471,37.7,197,0
671,1822,25.4,202,0
672,1554,34.8,204,0
673,1433,43.2,206,0
674,1449,47.7,209,0
675,1456,41.2,0,0
676,1424,45.5,2,0
677,1577,34.7,5,0
678,1478,39.7,10,0
679,1295,61.2,12,0
680,1372,47.3,15,0
681,1432,42.6,17,0
682,1656,33.2,20,0
683,1410,48.8,23,0
684,1874,24.4,28,0
685,1538,43.2,30,0
686,1636,29.7,32,0
687,1504,40.4,35,0
688,1531,42.4,38,0
689,1735,26.4,41,0
690,1354,55.6,46,0
691,1413,40.2,51,0
692,1563,39.3,56,0
693,1479,42.1,58,0
694,1477,38.3,60,0
695,1394,50.0,62,0
696,1487,45.4,64,0
697,1815,25.3,66,0
698,1453,39.7,69,0
699,1539,40.2,72,0
700,1416,39.2,74,0
701,1683,31.6,79,0
702,1515,40.1,82,0
703,1531,48.3,84,0
704,1479,40.9,87,0
705,1516,33.7,92,0
706,1507,38.2,94,0
707,1434,43.3,96,0
708,1838,27.3,99,0
709,1416,45.9,101,0
710,1357,49.7,104,0
711,1697,28.1,107,0
712,1443,46.2,110,0
713,1453,37.6,112,0
714,1439,46.4,114,0
715,1609,36.2,116,0
716,1324,59.1,118,0
717,1420,45.8,120,0
718,1545,36.9,125,0
719,1477,39.0,127,0
720,1447,58.1,129,0
721,1809,23.8,131,0
722,1696,30.9,133,0
723,1427,44.7,135,0
724,1500,46.3,137,0
725,1390,44.6,140,0
726,1640,34.2,142,0
727,1628,37.4,144,0
728,1499,37.6,147,0
729,1425,50.3,152,0
730,1586,37.7,155,0
731,1471,50.7,157,0
732,1431,53.0,160,0
733,1924,22.1,163,0
734,1421,42.0,165,0
735,1305,54.6,168,0
736,1557,32.4,173,0
737,1555,38.2,175,0
738,1474,39.2,177,0
739,1506,45.9,182,0
740,1390,41.8,184,0
741,1450,46.9,186,0
742,1513,38.8,189,0
743,1643,34.7,191,0
744,1361,53.8,193,0
745,1450,40.9,195,0
746,1451,50.7,197,0
747,1289,62.0,199,1
748,1356,48.3,201,0
749,1528,46.3,203,0
750,1978,22.3,208,0
751,1535,36.8,210,0
752,1843,24.2,212,0
753,1422,48.7,215,0
754,1536,40.4,217,0
755,1483,44.3,219,0
756,1492,43.7,222,0
757,1584,40.4,227,0
758,1555,33.7,229,0
759,1497,41.7,231,0
760,1537,36.3,233,0
761,1505,39.4,236,0
762,1646,34.6,238,0
763,1286,60.5,0,0
764,1400,47.5,3,0
765,1337,56.5,5,0
766,1332,53.9,7,0
767,1561,38.3,9,0
768,1546,31.1,11,0
769,1713,29.3,13,0
770,1343,44.5,15,0
771,1391,54.4,17,0
772,1311,58.6,19,0
773,1453,51.0,24,0
774,1510,39.4,29,0
775,1448,48.8,31,0
776,1453,46.0,33,0
777,1468,39.2,35,0
778,1382,47.5,37,0
779,1580,32.2,39,0
780,1666,29.8,41,0
781,1409,50.7,43,0
782,1675,29.7,46,0
783,1698,30.8,48,0
784,1579,33.4,50,0
785,1743,27.9,55,0
786,1497,44.8,57,0
787,1741,28.8,60,0
788,1435,45.3,62,0
789,1440,46.3,64,0
790,1641,33.3,67,0
791,1420,45.4,70,0
792,1611,35.4,72,0
793,1373,42.9,74,0
794,1683,31.8,76,0
795,1547,32.6,79,0
796,1605,37.0,84,0
797,2010,18.9,86,0
798,1565,40.1,89,0
799,1828,24.6,91,0
800,1579,34.1,94,0
801,1882,24.2,97,0
802,1285,52.1,100,0
803,1571,35.0,102,0
804,1549,37.8,104,0
805,1544,37.6,109,0
806,1412,47.4,112,0
807,1422,53.0,115,0
808,1867,22.8,118,0
809,1424,43.3,120,0
810,1452,45.7,122,0
811,1550,39.7,124,0
812,1588,37.6,126,0
813,1338,44.4,128,0
814,1513,40.0,130,0
815,1470,45.9,132,0
816,1516,36.7,135,0
817,1434,48.3,138,0
818,1368,52.0,140,0
819,1304,48.7,142,0
820,1398,46.7,144,0
821,1516,37.4,146,0
822,1474,41.7,148,0
823,1547,34.7,150,0
824,1482,39.9,153,0
825,1436,42.8,156,0
826,1474,40.0,158,0
827,1481,38.2,160,0
828,1501,42.1,162,0
829,1566,37.2,164,0
830,1579,34.5,166,0
831,1631,35.0,168,0
832,1544,42.3,170,0
833,1521,38.6,173,0
834,1616,28.0,175,0
835,1333,50.2,177,0
836,1533,32.5,182,0
837,1368,45.1,185,0
838,1465,47.8,187,0
839,1406,41.5,189,0
840,1565,43.5,194,0
841,1582,37.9,197,0
842,1439,45.5,199,0
843,1566,35.0,201,0
844,1485,42.7,204,0
845,1566,35.1,206,0
846,1439,41.5,208,0
847,1416,50.0,210,0
848,2833,5.6,213,1
849,1465,47.1,215,0
850,1586,35.5,0,0
851,1567,31.4,5,0
852,1389,48.6,7,0
853,1368,49.5,10,0
854,1444,49.0,13,0
855,1498,41.6,15,0
856,1615,30.8,18,0
857,1898,22.7,20,0
858,1350,53.3,22,0
859,1516,37.6,25,0
860,1542,40.6,28,0
861,1541,32.6,33,0
862,1951,23.3,38,0
863,1645,31.0,41,0
864,1416,44.2,46,0
865,2044,22.3,48,0
866,1414,50.2,51,0
867,1678,26.7,53,0
868,1594,33.2,55,0
869,1514,37.7,60,0
870,1358,49.2,63,0
871,1325,56.2,65,0
872,1339,53.2,67,0
873,1335,51.7,69,0
874,1892,21.7,72,0
875,1575,28.5,74,0
876,1444,45.5,76,0
877,1915,22.4,79,0
878,1584,33.6,81,0
879,1685,34.9,84,0
880,1337,54.6,87,0
881,1235,76.2,89,1
882,1464,46.2,92,0
883,1739,25.9,94,0
884,1490,34.3,97,0
885,1356,48.0,99,0
886,1397,52.0,101,0
887,1458,40.6,103,0
888,2161,16.5,105,0
889,1651,28.1,110,0
890,1389,46.2,113,0
891,1370,52.4,115,0
892,1408,47.9,117,0
893,1343,54.4,119,0
894,1423,42.5,121,0
895,1426,48.6,124,0
896,1435,51.6,126,0
897,1573,35.1,129,0
898,1612,31.2,131,0
899,1446,49.9,133,0
900,1329,55.3,135,0
901,1569,35.1,140,0
902,1256,62.3,142,0
903,1383,48.7,147,0
904,2270,14.6,149,1
905,1458,49.8,151,0
906,1474,41.2,156,0
907,1462,49.2,158,0
908,1669,29.0,161,0
909,1822,24.3,164,0
910,1456,39.2,167,0
911,1546,35.9,169,0
912,1490,42.7,171,0
913,1569,40.4,174,0
914,1621,29.5,176,0
915,1518,40.6,178,0
916,1526,38.2,181,0
917,1589,36.2,184,0
918,1475,51.0,187,0
919,1473,38.5,189,0
920,1407,50.7,192,0
921,1518,44.1,194,0
922,1593,37.2,197,0
923,1380,52.4,202,0
924,1423,45.3,205,0
925,1800,27.6,208,0
926,1623,30.9,210,0
927,1372,55.6,215,1
928,1396,52.4,0,0
929,1949,21.9,5,0
930,1419,51.1,7,0
931,1453,47.3,9,0
932,1542,36.2,12,0
933,1363,50.0,14,0
934,1597,37.2,16,0
935,1326,50.8,18,0
936,1641,36.6,21,0
937,1418,46.2,24,0
938,1263,61.8,27,0
939,1823,25.8,29,0
940,1488,40.7,31,0
941,1443,48.9,33,0
942,1650,28.2,35,0
943,1462,44.3,37,0
944,1477,45.0,40,0
945,1712,28.5,43,0
946,1347,50.4,46,0
947,1287,54.8,49,0
948,1428,44.5,51,0
949,1426,45.5,53,0
950,1636,32.7,56,0
951,1424,42.5,58,0
952,1509,35.8,60,0
953,1448,48.9,65,0
954,1650,32.8,67,0
955,1414,42.5,69,0
956,1911,20.9,74,0
957,1632,32.2,76,0
958,1387,40.1,81,0
959,1399,47.6,84,0
960,1505,35.2,86,0
961,1534,37.9,88,0
962,1493,40.5,90,0
963,1480,43.2,92,0
964,1621,31.6,95,0
965,1737,26.2,97,0
966,1508,46.5,99,0
967,1641,32.2,101,0
968,1532,38.6,104,0
969,1547,40.9,107,0
970,1412,41.0,109,0
971,1568,35.1,111,0
972,1557,41.1,113,0
973,1644,35.2,115,0
974,1679,30.4,117,0
975,1511,35.2,119,0
976,1628,36.8,121,0
977,1392,51.3,124,0
978,1917,21.0,127,0
979,1526,42.3,129,0
980,1389,53.3,132,0
981,1409,42.8,134,0
982,1655,31.1,136,0
983,1516,39.1,138,0
984,1526,34.9,140,0
985,1419,48.6,142,0
986,1748,25.3,144,0
987,1638,32.5,146,0
988,1534,33.8,151,0
989,1774,25.9,154,0
990,2119,18.3,159,0
991,1414,48.3,162,0
992,1523,42.0,164,0
993,1651,35.7,167,0
994,1485,36.0,169,0
995,1168,63.4,172,0
996,1566,35.8,175,0
997,1286,51.1,177,0
998,1446,45.9,180,0
999,2071,19.4,183,0
1000,1560,33.2,186,0
1001,1654,29.6,188,0
1002,1662,32.9,190,0
1003,1646,35.0,192,0
1004,1444,46.7,194,0
1005,1424,42.0,196,0
1006,1382,52.0,201,0
1007,1413,53.4,203,0
1008,1633,31.1,0,0
1009,1441,41.7,3,0
1010,1385,44.0,5,0
1011,1552,34.8,8,0
1012,1451,42.8,11,0
1013,1433,38.5,14,0
1014,1619,29.7,17,0
1015,1445,41.8,20,0
1016,1356,43.6,22,0
1017,1319,68.3,24,1
1018,1637,31.6,27,0
1019,1291,58.6,29,0
1020,1398,52.7,31,0
1021,1372,57.7,33,0
1022,1454,42.5,35,0
1023,1515,36.5,38,0
1024,1881,24.3,40,0
1025,1711,29.9,42,0
1026,1475,37.0,44,0
1027,1512,36.8,46,0
1028,1335,50.5,48,0
1029,1472,39.9,51,0
1030,1477,35.2,53,0
1031,1760,28.4,56,0
1032,1549,36.1,58,0
1033,1648,34.0,60,0
1034,1556,38.0,62,0
1035,1958,19.1,67,0
1036,1403,48.4,70,0
1037,1684,31.4,72,0
1038,1596,35.1,75,0
1039,1498,41.1,80,0
1040,1524,36.8,82,0
1041,1502,43.9,84,0
1042,1809,25.1,86,0
1043,1542,37.4,88,0
1044,1431,45.2,90,0
1045,1512,43.6,92,0
1046,1403,52.8,94,0
1047,1331,47.8,99,0
1048,1474,52.6,101,0
1049,1607,33.5,104,0
1050,1415,44.2,106,0
1051,1671,28.8,108,0
1052,1556,37.7,110,0
1053,1927,23.9,112,0
1054,1597,32.1,114,0
1055,1627,30.5,117,0
1056,1480,39.4,122,0
1057,1565,39.5,124,0
1058,1573,36.4,126,0
1059,1605,31.3,128,0
1060,1874,21.3,130,0
1061,1424,53.8,133,0
1062,1420,50.1,138,0
1063,1372,49.0,140,0
1064,1664,32.8,142,0
1065,1409,44.3,145,0
1066,1718,25.2,148,0
1067,1544,40.3,150,0
1068,1466,45.7,153,0
