UDI,Type,Air temperature,Process temperature
112,H,298.7,308.6
113,M,298.8,308.7
114,M,298.8,308.6
115,L,298.8,308.6
116,L,298.8,308.6
117,L,298.9,308.7
118,L,298.8,308.6
119,M,298.8,308.6
120,L,298.7,308.5
121,L,298.9,308.7
122,L,298.9,308.7
123,L,299.0,308.8
124,L,298.9,308.7
125,L,298.9,308.7
126,L,298.9,308.6
127,L,299.0,308.6
128,L,298.9,308.6
129,L,299.0,308.6
130,L,298.9,308.5
131,L,298.8,308.4
132,L,298.8,308.4
133,M,298.7,308.4
134,M,298.7,308.4
135,L,298.8,308.4
136,M,298.8,308.5
137,H,298.7,308.5
138,L,298.7,308.6
139,H,298.8,308.6
140,L,298.8,308.6
141,L,298.8,308.6
142,L,298.7,308.5
143,M,298.6,308.4
144,H,298.6,308.4
145,M,298.6,308.4
146,L,298.5,308.4
147,H,298.5,308.4
148,L,298.4,308.4
149,M,298.3,308.3
150,L,298.4,308.3
151,L,298.4,308.3
152,M,298.4,308.2
153,M,298.4,308.2
154,L,298.4,308.2
155,L,298.4,308.2
156,H,298.4,308.2
157,M,298.4,308.1
158,H,298.4,308.2
159,M,298.4,308.2
160,L,298.4,308.2
161,L,298.4,308.2
162,L,298.3,308.1
163,L,298.3,308.1
164,M,298.4,308.2
165,M,298.5,308.3
166,L,298.5,308.4
167,H,298.4,308.2
168,H,298.4,308.3
169,L,298.4,308.3
170,L,298.4,308.3
171,M,298.4,308.2
172,L,298.2,308.1
173,M,298.1,308.0
174,M,298.2,308.0
175,L,298.2,308.1
176,L,298.2,308.1
177,L,298.2,308.1
178,L,298.2,308.2
179,L,298.2,308.2
180,L,298.2,308.3
181,L,298.2,308.3
182,H,298.2,308.3
183,M,298.1,308.2
184,L,298.1,308.2
185,L,298.2,308.2
186,L,298.2,308.2
187,L,298.1,308.3
188,L,298.2,308.4
189,L,298.3,308.5
190,M,298.3,308.4
191,L,298.2,308.4
192,L,298.2,308.4
193,H,298.2,308.4
194,H,298.2,308.4
195,M,298.2,308.5
196,L,298.3,308.5
197,H,298.3,308.6
198,M,298.4,308.6
199,L,298.4,308.7
200,L,298.4,308.6
201,L,298.4,308.6
202,L,298.3,308.5
203,M,298.4,308.5
204,L,298.4,308.5
205,L,298.4,308.5
206,M,298.5,308.6
207,L,298.5,308.7
208,M,298.4,308.7
209,L,298.4,308.6
210,L,298.4,308.6
211,L,298.4,308.7
212,L,298.5,308.7
213,H,298.4,308.7
214,L,298.4,308.7
215,M,298.3,308.6
216,L,298.3,308.6
217,L,298.3,308.6
218,L,298.3,308.5
219,L,298.3,308.6
220,M,298.3,308.5
221,L,298.3,308.5
222,H,298.4,308.5
223,L,298.4,308.6
224,L,298.4,308.6
225,L,298.3,308.6
226,L,298.3,308.5
227,L,298.3,308.4
228,L,298.3,308.5
229,M,298.3,308.5
230,L,298.3,308.5
231,L,298.3,308.6
232,L,298.3,308.4
233,L,298.2,308.4
234,L,298.2,308.4
235,L,298.2,308.4
236,M,298.1,308.3
237,L,298.1,308.3
238,M,298.0,308.1
239,L,297.9,308.1
240,L,298.0,308.2
241,M,298.0,308.1
242,L,298.0,308.1
243,L,298.0,308.2
244,L,298.0,308.2
245,M,298.0,308.2
246,M,297.9,308.1
247,L,297.9,308.1
248,L,298.0,308.2
249,L,298.0,308.3
250,L,298.0,308.3
251,L,298.0,308.3
252,M,298.0,308.2
253,L,298.0,308.2
254,L,298.0,308.2
255,L,298.0,308.2
256,L,298.0,308.2
257,L,298.1,308.3
258,L,298.0,308.0
259,L,298.1,308.2
260,M,298.1,308.2
261,M,298.2,308.3
262,L,298.1,308.2
263,M,298.1,308.2
264,M,298.0,308.1
265,L,298.1,308.2
266,L,298.0,308.1
267,H,298.0,308.1
268,L,297.9,308.0
269,H,297.9,308.0
270,L,298.0,308.0
271,H,298.0,308.0
272,M,298.1,308.1
273,L,298.1,308.1
274,L,298.1,308.0
275,L,298.1,308.0
276,L,298.0,308.0
277,M,298.0,307.9
278,H,298.0,308.0
279,M,298.0,308.0
280,L,298.0,308.1
281,M,298.1,308.1
282,L,298.1,308.0
283,M,298.1,308.1
284,L,298.2,308.2
285,L,298.2,308.3
286,L,298.2,308.3
287,L,298.2,308.3
288,L,298.2,308.3
289,H,298.2,308.4
290,L,298.1,308.4
291,L,298.1,308.4
292,L,298.0,308.3
293,L,298.1,308.4
294,H,298.1,308.5
295,M,298.1,308.5
296,M,298.1,308.6
297,L,298.0,308.5
298,L,298.0,308.5
299,H,297.9,308.5
300,M,297.8,308.3
301,L,297.8,308.4
302,L,297.7,308.4
303,H,297.8,308.4
304,M,297.8,308.4
305,L,297.8,308.4
306,L,297.8,308.4
307,L,297.8,308.4
308,M,297.8,308.4
309,L,297.9,308.5
310,M,297.9,308.5
311,H,298.0,308.6
312,M,298.0,308.6
313,L,297.9,308.6
314,L,298.0,308.6
315,M,297.9,308.5
316,L,297.9,308.4
317,L,297.8,308.4
318,L,297.8,308.4
319,L,297.8,308.4
320,L,297.8,308.4
321,H,297.8,308.4
322,L,297.8,308.4
323,L,297.8,308.5
324,L,297.8,308.5
325,M,297.8,308.5
326,L,297.8,308.5
327,L,297.7,308.5
328,L,297.7,308.5
329,H,297.6,308.4
330,H,297.7,308.5
331,M,297.6,308.4
332,M,297.6,308.4
333,M,297.6,308.3
334,L,297.5,308.2
335,M,297.5,308.1
336,L,297.4,308.1
337,M,297.6,308.2
338,L,297.6,308.3
339,L,297.5,308.2
340,M,297.5,308.2
341,L,297.4,308.1
342,M,297.4,308.2
343,L,297.4,308.2
344,L,297.5,308.3
345,M,297.5,308.2
346,L,297.5,308.3
347,M,297.5,308.3
348,L,297.5,308.3
349,L,297.6,308.3
350,L,297.6,308.3
351,H,297.6,308.3
352,M,297.6,308.4
353,M,297.6,308.4
354,H,297.5,308.3
355,L,297.6,308.3
356,L,297.6,308.3
357,M,297.6,308.4
358,L,297.6,308.4
359,M,297.6,308.3
360,M,297.6,308.3
361,M,297.5,308.3
362,L,297.5,308.3
363,H,297.6,308.3
364,L,297.6,308.3
365,L,297.6,308.4
366,L,297.6,308.4
367,M,297.6,308.5
368,M,297.6,308.4
369,L,297.5,308.4
370,H,297.5,308.4
371,M,297.5,308.3
372,L,297.5,308.4
373,M,297.4,308.3
374,L,297.4,308.3
375,L,297.4,308.3
376,L,297.4,308.2
377,M,297.4,308.2
378,M,297.4,308.2
379,L,297.3,308.2
380,L,297.3,308.2
381,L,297.5,308.3
382,L,297.5,308.5
383,L,297.5,308.5
384,M,297.5,308.6
385,L,297.5,308.5
386,M,297.6,308.6
387,L,297.6,308.7
388,L,297.7,308.7
389,L,297.6,308.7
390,M,297.6,308.7
391,L,297.6,308.7
392,L,297.6,308.6
393,M,297.6,308.5
394,M,297.5,308.4
395,L,297.5,308.4
396,L,297.4,308.3
397,L,297.4,308.3
398,M,297.4,308.3
399,H,297.4,308.3
400,L,297.4,308.4
401,L,297.4,308.5
402,L,297.5,308.5
403,L,297.4,308.6
404,L,297.3,308.6
405,L,297.3,308.6
406,L,297.3,308.5
407,L,297.4,308.6
408,M,297.4,308.5
409,M,297.4,308.6
410,L,297.4,308.6
411,M,297.5,308.6
412,L,297.5,308.7
413,L,297.5,308.6
414,L,297.4,308.4
415,L,297.4,308.4
416,L,297.5,308.4
417,L,297.4,308.5
418,L,297.4,308.4
419,L,297.4,308.4
420,M,297.3,308.3
421,M,297.3,308.3
422,M,297.3,308.3
423,L,297.3,308.3
424,L,297.3,308.3
425,L,297.3,308.4
426,M,297.3,308.4
427,L,297.4,308.5
428,M,297.5,308.5
429,M,297.6,308.6
430,L,297.5,308.6
431,L,297.5,308.6
432,L,297.5,308.5
433,M,297.6,308.5
434,M,297.6,308.5
435,M,297.5,308.5
436,L,297.4,308.3
437,L,297.3,308.3
438,L,297.3,308.3
439,L,297.4,308.4
440,M,297.4,308.3
441,L,297.4,308.5
442,H,297.5,308.5
443,L,297.4,308.5
444,H,297.4,308.5
445,L,297.4,308.4
446,L,297.5,308.6
447,L,297.5,308.6
448,M,297.6,308.7
449,L,297.5,308.6
450,L,297.6,308.7
451,M,297.6,308.7
452,H,297.5,308.6
453,M,297.4,308.6
454,L,297.4,308.7
455,L,297.4,308.7
456,L,297.4,308.7
457,H,297.3,308.7
458,L,297.4,308.6
459,L,297.3,308.6
460,L,297.4,308.6
461,H,297.3,308.6
462,L,297.4,308.7
463,L,297.4,308.7
464,L,297.4,308.7
465,L,297.3,308.6
466,M,297.3,308.6
467,L,297.2,308.5
468,L,297.2,308.5
469,L,297.3,308.7
470,M,297.3,308.8
471,H,297.3,308.8
472,H,297.3,308.8
473,M,297.4,309.0
474,M,297.4,309.0
475,L,297.4,309.1
476,L,297.4,309.1
477,L,297.4,309.0
478,H,297.4,309.0
479,L,297.4,309.0
480,M,297.4,308.9
481,L,297.4,309.0
482,M,297.3,309.0
483,L,297.3,309.0
484,L,297.4,309.0
485,L,297.4,309.0
486,M,297.4,309.0
487,M,297.4,309.1
488,M,297.4,309.1
489,L,297.4,309.2
490,M,297.5,309.2
491,L,297.4,309.2
492,L,297.4,309.2
493,L,297.5,309.3
494,L,297.5,309.3
495,L,297.6,309.4
496,H,297.5,309.3
497,M,297.5,309.2
498,L,297.4,309.0
499,L,297.5,309.1
500,L,297.5,309.1
501,M,297.5,309.2
502,M,297.6,309.3
503,L,297.6,309.2
504,M,297.6,309.2
505,M,297.6,309.3
506,L,297.6,309.3
507,L,297.6,309.3
508,H,297.8,309.4
509,L,297.7,309.3
510,M,297.6,309.3
511,L,297.5,309.3
512,L,297.5,309.3
513,L,297.5,309.2
514,L,297.4,309.2
515,L,297.4,309.2
516,L,297.5,309.2
517,L,297.5,309.3
518,M,297.5,309.4
519,L,297.6,309.5
520,M,297.7,309.5
521,L,297.6,309.5
522,L,297.5,309.4
523,M,297.5,309.5
524,L,297.4,309.4
525,L,297.4,309.4
526,L,297.4,309.4
527,L,297.6,309.5
528,M,297.6,309.6
529,M,297.5,309.5
530,L,297.6,309.5
531,M,297.6,309.5
532,L,297.6,309.5
533,L,297.5,309.4
534,L,297.5,309.3
535,L,297.5,309.3
536,H,297.4,309.3
537,L,297.4,309.3
538,H,297.4,309.3
539,M,297.4,309.3
540,M,297.4,309.3
541,L,297.4,309.4
542,L,297.4,309.4
543,L,297.5,309.4
544,H,297.5,309.3
545,M,297.5,309.4
546,L,297.6,309.4
547,L,297.5,309.4
548,M,297.5,309.4
549,L,297.4,309.3
550,L,297.4,309.2
551,L,297.4,309.2
552,L,297.4,309.2
553,M,297.4,309.3
554,M,297.4,309.3
555,H,297.5,309.4
556,M,297.4,309.4
557,L,297.5,309.4
558,M,297.5,309.4
559,L,297.5,309.4
560,L,297.5,309.4
561,L,297.5,309.4
562,M,297.5,309.4
563,L,297.6,309.5
564,L,297.7,309.6
565,H,297.6,309.6
566,H,297.7,309.7
567,M,297.6,309.7
568,M,297.7,309.7
569,L,297.8,309.7
570,M,297.7,309.6
571,L,297.7,309.7
572,M,297.8,309.8
573,L,297.8,309.9
574,L,297.9,309.9
575,M,297.9,310.0
576,M,297.9,309.9
577,H,297.7,309.7
578,L,297.7,309.7
579,L,297.8,309.8
580,M,297.8,309.7
581,M,297.8,309.8
582,L,297.8,309.7
583,L,297.8,309.7
584,H,297.7,309.6
585,H,297.6,309.6
586,L,297.6,309.5
587,L,297.6,309.6
588,H,297.6,309.5
589,L,297.6,309.4
590,L,297.6,309.4
591,L,297.5,309.4
592,H,297.5,309.3
593,H,297.5,309.5
594,L,297.5,309.6
595,H,297.6,309.6
596,M,297.6,309.6
597,M,297.6,309.6
598,H,297.6,309.6
599,L,297.7,309.6
600,H,297.7,309.7
601,L,297.8,309.7
602,L,297.9,309.7
603,L,297.9,309.8
604,L,297.9,309.8
605,L,297.9,309.9
606,M,297.9,309.8
607,L,297.9,309.8
608,M,298.0,309.9
609,L,298.0,309.9
610,L,298.1,309.9
611,L,298.1,310.0
612,L,298.1,310.0
613,L,298.1,309.9
614,L,298.1,309.9
615,M,298.0,309.9
616,L,298.1,309.9
617,H,298.1,309.9
618,M,298.1,310.0
619,H,298.2,310.0
620,L,298.3,310.0
621,M,298.3,310.1
622,L,298.3,310.1
623,M,298.4,310.2
624,L,298.4,310.1
625,H,298.3,310.1
626,L,298.3,310.1
627,L,298.4,310.1
628,L,298.4,310.1
629,M,298.4,310.1
630,L,298.3,310.1
631,L,298.3,310.0
632,L,298.4,310.0
633,H,298.3,310.0
634,L,298.3,310.0
635,L,298.3,309.9
636,L,298.3,310.0
637,L,298.3,309.9
638,L,298.2,309.7
639,L,298.0,309.6
640,L,298.0,309.6
641,M,297.9,309.6
642,L,297.9,309.5
643,M,297.8,309.4
644,M,297.8,309.4
645,H,297.7,309.4
646,L,297.7,309.4
647,M,297.7,309.4
648,L,297.7,309.3
649,H,297.7,309.3
650,M,297.7,309.2
651,L,297.6,309.2
652,L,297.6,309.1
653,L,297.7,309.2
654,L,297.8,309.3
655,L,297.8,309.2
656,L,297.7,309.1
657,M,297.7,309.1
658,L,297.7,309.2
659,L,297.7,309.1
660,L,297.6,309.1
661,M,297.7,309.2
662,M,297.6,309.0
663,M,297.6,308.9
664,L,297.5,308.9
665,L,297.5,308.9
666,L,297.5,308.9
667,L,297.5,309.0
668,L,297.5,308.9
669,L,297.5,308.9
670,H,297.5,308.9
671,L,297.6,309.0
672,L,297.5,308.9
673,M,297.6,308.9
674,L,297.6,308.9
675,L,297.8,309.0
676,M,297.8,309.1
677,H,297.9,309.2
678,L,297.9,309.2
679,M,297.8,309.2
680,L,297.8,309.2
681,M,297.8,309.1
682,M,297.7,309.0
683,H,297.8,309.0
684,L,297.7,309.0
685,L,297.7,309.0
686,M,297.7,309.0
687,M,297.7,309.0
688,M,297.7,309.0
689,H,297.6,309.0
690,H,297.6,309.0
691,H,297.6,309.0
692,L,297.7,309.1
693,L,297.7,309.1
694,L,297.7,309.1
695,L,297.6,309.1
696,L,297.6,309.0
697,M,297.6,309.0
698,M,297.6,308.8
699,L,297.6,308.8
700,H,297.5,308.7
701,M,297.6,308.8
702,L,297.7,308.8
703,M,297.7,308.9
704,H,297.7,308.9
705,L,297.7,308.9
706,L,297.7,309.0
707,M,297.8,309.0
708,L,297.7,308.9
709,M,297.6,308.8
710,M,297.6,308.8
711,M,297.5,308.7
712,L,297.5,308.7
713,L,297.5,308.7
714,L,297.4,308.6
715,L,297.4,308.6
716,L,297.4,308.6
717,H,297.4,308.6
718,L,297.4,308.7
719,L,297.5,308.8
720,L,297.4,308.8
721,L,297.4,308.9
722,L,297.5,308.9
723,L,297.5,308.9
724,M,297.4,308.9
725,L,297.5,308.9
726,L,297.4,308.8
727,M,297.4,308.8
728,H,297.3,308.6
729,M,297.4,308.7
730,L,297.3,308.6
731,M,297.3,308.6
732,M,297.3,308.6
733,L,297.2,308.6
734,M,297.1,308.4
735,H,297.0,308.4
736,L,296.9,308.4
737,L,296.9,308.3
738,H,296.9,308.3
739,L,296.8,308.3
740,L,296.9,308.4
741,M,296.9,308.4
742,L,296.9,308.3
743,L,296.8,308.2
744,L,296.8,308.2
745,L,296.7,308.1
746,L,296.7,308.0
747,L,296.8,308.1
748,L,296.8,308.1
749,H,296.7,308.1
750,L,296.6,308.0
751,L,296.7,308.0
752,M,296.8,308.1
753,L,296.9,308.1
754,L,296.8,308.0
755,M,296.9,308.1
756,H,296.8,308.1
757,L,296.8,308.0
758,L,296.9,308.1
759,L,296.8,308.0
760,M,296.7,307.8
761,L,296.7,307.8
762,L,296.7,307.8
763,M,296.7,307.8
764,L,296.7,307.8
765,L,296.8,307.9
766,L,296.9,308.0
767,L,296.8,308.0
768,L,296.9,308.0
769,L,296.9,308.0
770,L,296.9,308.0
771,L,296.8,308.0
772,H,296.8,308.0
773,H,296.8,308.0
774,L,296.8,308.0
775,L,296.8,307.9
776,L,296.7,307.8
777,L,296.7,307.8
778,L,296.7,307.8
779,L,296.7,308.0
780,L,296.8,308.0
781,M,296.9,308.0
782,L,296.8,308.0
783,L,296.8,307.9
784,H,296.7,307.9
785,L,296.7,307.9
786,M,296.9,308.0
787,L,296.9,308.1
788,L,296.9,308.1
789,M,296.9,308.1
790,M,296.9,308.0
791,L,296.8,307.9
792,L,296.8,307.9
793,L,296.8,307.8
794,M,296.8,307.9
795,H,296.9,307.9
796,L,296.9,307.8
797,M,296.9,307.9
798,L,296.8,307.7
799,M,296.9,307.8
800,M,297.0,307.8
801,M,297.0,307.9
802,L,296.9,307.8
803,L,296.9,307.8
804,H,296.9,307.8
805,M,296.9,307.8
806,M,297.0,307.9
807,M,297.0,307.9
808,L,297.0,307.7
809,L,296.9,307.7
810,L,296.9,307.6
811,L,296.9,307.7
812,L,296.8,307.6
813,L,296.8,307.6
814,L,296.8,307.6
815,M,296.8,307.5
816,M,296.8,307.5
817,L,296.8,307.6
818,L,296.8,307.6
819,L,296.8,307.6
820,L,296.8,307.6
821,L,296.7,307.6
822,L,296.7,307.6
823,M,296.7,307.6
824,M,296.6,307.5
825,L,296.6,307.4
826,L,296.6,307.3
827,L,296.5,307.2
828,L,296.5,307.3
829,L,296.5,307.3
830,L,296.5,307.3
831,L,296.6,307.4
832,M,296.6,307.4
833,L,296.6,307.4
834,L,296.6,307.4
835,H,296.6,307.4
836,M,296.7,307.4
837,L,296.6,307.4
838,L,296.6,307.4
839,H,296.6,307.4
840,M,296.5,307.4
841,L,296.6,307.5
842,L,296.6,307.5
843,M,296.6,307.5
844,L,296.6,307.5
845,L,296.5,307.5
846,L,296.3,307.3
847,M,296.4,307.4
848,L,296.4,307.4
849,L,296.3,307.4
850,H,296.4,307.4
851,L,296.3,307.3
852,M,296.2,307.2
853,M,296.3,307.3
854,L,296.3,307.3
855,M,296.3,307.3
856,L,296.1,307.2
857,L,296.1,307.1
858,M,296.1,307.1
859,M,296.2,307.0
860,H,296.2,307.0
861,H,296.1,306.9
862,M,296.1,306.9
863,H,296.1,306.8
864,L,296.0,306.7
865,M,296.0,306.7
866,L,295.9,306.6
867,L,295.9,306.6
868,H,295.9,306.5
869,M,295.8,306.5
870,L,295.8,306.5
871,L,295.8,306.4
872,L,295.8,306.4
873,M,295.8,306.4
874,L,295.9,306.4
875,L,295.9,306.4
876,M,295.8,306.3
877,L,295.7,306.3
878,M,295.6,306.2
879,M,295.7,306.3
880,L,295.8,306.3
881,M,295.8,306.3
882,L,295.7,306.2
883,M,295.7,306.2
884,L,295.7,306.3
885,L,295.8,306.4
886,L,295.7,306.2
887,L,295.7,306.2
888,H,295.7,306.2
889,M,295.6,306.1
890,L,295.6,306.1
891,L,295.6,306.0
892,L,295.7,306.1
893,L,295.7,306.1
894,M,295.7,306.2
895,L,295.6,306.2
896,M,295.6,306.2
897,L,295.5,306.1
898,L,295.6,306.2
899,L,295.6,306.2
900,H,295.6,306.2
901,L,295.6,306.2
902,H,295.6,306.1
903,L,295.6,306.1
904,L,295.7,306.2
905,H,295.7,306.2
906,L,295.6,306.1
907,M,295.6,306.1
908,M,295.6,306.1
909,M,295.5,306.1
910,L,295.5,306.0
911,L,295.5,306.0
912,M,295.6,306.1
913,L,295.6,306.0
914,L,295.5,306.0
915,M,295.4,305.9
916,M,295.4,305.8
917,M,295.3,305.8
918,L,295.3,305.7
919,M,295.3,305.7
920,L,295.4,305.8
921,M,295.5,305.9
922,H,295.5,305.9
923,M,295.5,305.9
924,M,295.5,306.0
925,L,295.5,306.0
926,H,295.6,306.1
927,L,295.6,306.1
928,H,295.6,306.0
929,L,295.6,306.0
930,L,295.6,306.0
931,M,295.5,305.9
932,L,295.5,305.9
933,L,295.6,306.0
934,L,295.5,306.0
935,M,295.5,306.0
936,M,295.5,306.0
937,M,295.6,306.1
938,L,295.6,306.2
939,L,295.6,306.2
940,L,295.5,306.1
941,L,295.6,306.2
942,L,295.6,306.2
943,M,295.7,306.3
944,M,295.6,306.2
945,M,295.7,306.3
946,M,295.7,306.3
947,L,295.6,306.2
948,L,295.6,306.2
949,M,295.6,306.3
950,L,295.6,306.3
951,L,295.6,306.2
952,H,295.6,306.3
953,L,295.5,306.2
954,L,295.5,306.1
955,H,295.6,306.2
956,L,295.6,306.3
957,H,295.6,306.2
958,M,295.7,306.4
959,L,295.8,306.4
960,L,295.8,306.5
961,L,295.8,306.5
962,L,295.8,306.5
963,M,295.8,306.6
964,L,295.8,306.6
965,L,295.7,306.5
966,L,295.8,306.6
967,M,295.8,306.5
968,M,295.9,306.6
969,L,295.9,306.7
970,L,295.9,306.6
971,L,295.8,306.5
972,L,295.9,306.6
973,L,295.8,306.6
974,L,295.9,306.6
975,L,296.0,306.6
976,M,296.0,306.6
977,M,296.0,306.6
978,L,296.0,306.7
979,M,296.2,306.8
980,L,296.2,306.8
981,L,296.1,306.7
982,L,296.2,306.8
983,L,296.2,306.9
984,L,296.2,306.9
985,L,296.3,307.1
986,L,296.4,307.2
987,H,296.4,307.1
988,M,296.3,307.1
989,H,296.3,307.1
990,M,296.2,307.0
991,L,296.2,307.0
992,M,296.1,307.0
993,L,296.1,307.1
994,M,296.1,307.1
995,M,296.2,307.2
996,L,296.3,307.3
997,M,296.3,307.2
998,M,296.3,307.2
999,M,296.4,307.2
1000,L,296.3,307.1
1001,L,296.3,307.1
1002,L,296.3,307.1
1003,L,296.3,307.2
1004,L,296.2,307.1
1005,H,296.3,307.2
1006,L,296.2,307.2
1007,L,296.2,307.1
1008,M,296.2,307.2
1009,L,296.2,307.1
1010,M,296.2,307.2
1011,M,296.2,307.2
1012,M,296.2,307.3
1013,M,296.1,307.1
1014,M,296.1,307.2
1015,L,296.2,307.2
1016,L,296.2,307.2
1017,M,296.3,307.2
1018,L,296.3,307.2
1019,L,296.3,307.2
1020,L,296.3,307.3
1021,L,296.3,307.3
1022,M,296.3,307.2
1023,L,296.2,307.2
1024,L,296.2,307.3
1025,L,296.2,307.3
1026,L,296.2,307.3
1027,L,296.4,307.4
1028,M,296.3,307.4
1029,L,296.3,307.4
1030,M,296.2,307.3
1031,L,296.3,307.4
1032,L,296.4,307.5
1033,L,296.3,307.4
1034,H,296.4,307.5
1035,M,296.3,307.4
1036,L,296.4,307.4
1037,M,296.4,307.5
1038,H,296.4,307.5
1039,L,296.6,307.6
1040,L,296.7,307.7
1041,L,296.7,307.7
1042,L,296.6,307.6
1043,L,296.6,307.6
1044,L,296.5,307.6
1045,L,296.5,307.6
1046,H,296.4,307.5
1047,L,296.4,307.5
1048,M,296.6,307.7
1049,L,296.5,307.6
1050,L,296.5,307.6
1051,L,296.6,307.6
1052,L,296.6,307.7
1053,L,296.7,307.7
1054,M,296.7,307.7
1055,H,296.8,307.8
1056,L,296.8,307.8
1057,L,296.8,307.8
1058,L,296.8,307.8
1059,L,296.7,307.8
1060,M,296.7,307.9
1061,H,296.7,307.9
1062,L,296.7,307.9
1063,L,296.8,307.9
1064,M,296.8,307.8
1065,M,296.8,307.9
1066,L,296.8,307.9
1067,M,296.9,307.8
1068,L,296.9,307.8
1069,L,296.8,307.8
1070,M,296.9,307.8
1071,M,296.9,307.8
1072,L,296.9,307.8
1073,M,297.0,307.9
1074,L,297.0,307.8
1075,L,297.0,307.9
1076,H,296.9,307.8
1077,L,296.9,307.7
1078,L,296.8,307.6
1079,H,296.9,307.7
1080,L,297.0,307.7
1081,L,297.0,307.8
1082,L,297.0,307.8
1083,H,297.1,307.9
1084,L,297.0,307.8
1085,M,297.0,307.7
1086,L,297.0,307.8
1087,L,297.0,307.9
1088,H,296.9,307.8
1089,M,296.9,307.8
1090,M,296.9,307.7
1091,L,296.9,307.7
1092,L,297.0,307.7
1093,M,296.9,307.6
1094,M,296.8,307.5
1095,L,296.9,307.5
1096,L,296.9,307.5
1097,L,297.0,307.6
1098,H,296.9,307.5
1099,M,296.9,307.4
1100,M,296.8,307.4
1101,H,296.8,307.5
1102,H,296.7,307.5
1103,L,296.8,307.5
1104,M,296.7,307.4
1105,L,296.6,307.4
1106,M,296.6,307.5
1107,L,296.7,307.6
1108,M,296.7,307.5
1109,L,296.6,307.4
1110,L,296.6,307.5
1111,L,296.5,307.4
1112,H,296.5,307.4
1113,M,296.5,307.4
1114,M,296.6,307.4
1115,H,296.4,307.3
1116,M,296.4,307.3
1117,L,296.4,307.3
1118,L,296.5,307.4
1119,L,296.5,307.5
1120,L,296.5,307.5
1121,H,296.6,307.7
1122,L,296.6,307.6
1123,L,296.5,307.6
1124,H,296.6,307.7
1125,M,296.7,307.8
1126,M,296.7,307.8
1127,L,296.8,307.9
1128,M,296.7,307.8
1129,M,296.8,307.9
1130,L,296.7,307.9
1131,L,296.8,307.9
1132,L,296.8,307.9
1133,L,296.8,307.9
1134,M,296.8,307.9
1135,M,296.9,307.8
1136,L,296.9,307.9
1137,L,296.9,307.8
1138,L,296.9,307.8
1139,L,296.9,307.9
1140,M,297.0,307.9
1141,M,296.9,307.9
1142,L,297.0,307.9
1143,L,296.9,307.9
1144,L,297.0,307.9
1145,L,297.0,307.9
1146,L,297.0,307.8
1147,L,297.0,307.9
1148,M,297.1,308.0
1149,L,297.1,308.0
1150,L,297.2,308.1
