Unnamed: 0,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,y
619,6,0,No,No,1
620,4,0,Yes,No,0
621,4,0,No,No,0
622,5,0,Yes,No,0
623,3,0,No,No,0
624,9,0,No,No,0
625,4,0,No,No,0
626,6,0,Yes,No,0
627,6,0,No,No,0
628,9,0,No,No,0
629,4,0,Yes,No,0
630,9,0,No,No,0
631,6,1,No,Yes,1
632,3,0,No,No,0
633,7,1,No,No,0
634,4,0,No,No,0
635,4,0,No,No,0
636,4,0,No,Yes,1
637,5,1,No,No,0
638,3,0,Yes,Yes,1
639,5,1,Yes,No,0
640,5,0,No,No,0
641,5,1,No,Yes,0
642,6,1,No,No,0
643,5,1,No,No,0
644,4,0,No,No,0
645,4,0,No,No,0
646,6,0,No,No,0
647,5,0,Yes,No,1
648,4,0,No,No,0
649,5,0,No,No,0
650,4,0,Yes,Yes,1
651,8,1,No,Yes,1
652,6,0,No,No,1
653,7,0,No,No,0
654,6,0,No,No,0
655,4,0,No,No,0
656,6,1,No,No,0
657,5,0,No,No,1
658,6,0,Yes,Yes,1
659,3,0,No,No,0
660,4,0,No,No,0
661,5,0,No,No,0
662,6,0,No,No,0
663,6,1,No,No,1
664,4,0,Yes,Yes,1
665,6,0,Yes,No,0
666,5,0,No,No,0
667,4,1,No,Yes,0
668,5,0,Yes,No,0
669,3,0,Yes,No,0
670,4,1,No,No,0
671,3,1,No,No,0
672,2,1,No,No,0
673,3,1,No,No,1
674,2,0,No,No,0
675,3,0,No,No,0
676,7,1,No,No,0
677,7,0,No,No,0
678,4,0,Yes,No,1
679,5,0,No,No,0
680,4,1,No,Yes,1
681,4,0,No,No,0
682,5,1,Yes,Yes,1
683,4,0,No,No,0
684,4,0,No,No,0
685,4,1,Yes,Yes,1
686,3,0,Yes,Yes,1
687,3,0,No,No,0
688,5,1,No,No,0
689,7,0,No,No,0
690,8,0,No,Yes,0
691,3,0,Yes,No,0
692,6,0,No,No,0
693,5,1,No,No,0
694,6,1,No,No,1
695,7,0,No,No,0
696,2,0,No,No,0
697,3,1,No,Yes,1
698,7,0,No,No,1
699,3,1,Yes,No,0
700,4,0,Yes,Yes,1
701,7,1,No,Yes,1
702,8,0,No,No,0
703,6,0,No,No,0
704,8,0,No,No,1
705,5,1,No,No,0
706,4,0,No,No,0
707,4,1,No,No,0
708,3,0,No,No,0
709,3,0,Yes,Yes,1
710,3,1,Yes,Yes,1
711,8,0,No,No,1
712,9,0,Yes,Yes,1
713,2,1,No,No,1
714,4,0,No,No,0
715,5,0,No,No,0
716,7,0,No,No,1
717,4,0,No,No,0
718,4,0,No,No,0
719,4,0,No,No,0
720,2,0,No,Yes,0
721,4,0,No,No,0
722,8,0,No,No,1
723,2,1,Yes,No,0
724,3,0,No,No,0
725,4,0,No,No,1
726,5,0,Yes,No,1
727,7,1,No,No,1
728,6,0,No,Yes,0
729,3,0,No,Yes,0
730,6,0,No,No,1
731,5,0,No,No,0
732,4,0,No,No,0
733,4,0,Yes,No,0
734,7,0,No,No,1
735,4,0,No,No,0
736,7,0,No,No,0
737,4,1,No,No,1
738,7,0,Yes,No,0
739,4,0,No,No,1
740,6,1,No,No,1
741,6,0,No,No,1
742,7,1,No,No,1
743,6,0,No,No,0
744,5,1,No,Yes,0
745,3,0,Yes,No,0
746,3,1,No,No,0
747,6,0,No,No,1
748,5,0,No,Yes,0
749,8,0,No,No,1
750,4,0,No,No,0
751,9,0,No,Yes,1
752,6,0,No,No,1
753,4,1,No,No,0
754,3,0,No,No,0
755,4,0,No,No,0
756,6,0,No,No,0
757,6,1,No,No,0
758,6,1,No,Yes,1
759,7,1,No,No,1
760,4,1,No,No,0
761,3,0,Yes,Yes,1
762,5,0,No,No,0
763,4,1,No,No,0
764,5,0,No,No,0
765,4,0,No,No,0
766,3,1,No,No,0
767,6,0,No,No,0
768,5,0,Yes,Yes,1
769,3,0,No,No,0
770,5,0,No,No,0
771,7,0,No,No,1
772,3,0,No,No,0
773,6,0,No,No,0
774,5,0,Yes,No,0
775,3,0,No,No,0
776,6,0,Yes,Yes,1
777,5,0,No,No,0
778,6,0,No,No,0
779,4,0,No,Yes,1
780,6,0,No,No,0
781,5,0,No,No,1
782,4,0,No,No,0
783,7,0,No,No,0
784,5,1,Yes,Yes,1
785,7,0,No,Yes,0
786,2,0,No,No,0
787,4,0,No,No,0
788,7,0,No,No,0
789,4,0,No,No,1
790,4,1,No,No,1
791,7,0,No,No,1
792,6,0,Yes,No,0
793,6,0,No,No,1
794,7,1,No,No,0
795,3,0,No,No,0
796,7,0,No,No,0
797,4,0,No,No,0
798,5,1,No,No,1
799,3,0,No,No,0
800,6,0,No,No,0
801,4,1,No,No,1
802,5,1,No,No,1
803,7,1,No,No,0
804,4,1,No,No,0
805,3,1,Yes,No,0
806,5,0,No,No,0
807,3,0,Yes,No,1
808,6,0,Yes,Yes,1
809,5,1,Yes,Yes,1
810,4,1,No,No,0
811,3,0,No,No,0
812,4,1,No,No,0
813,3,0,No,No,0
814,6,1,No,Yes,0
815,5,1,Yes,No,0
816,4,0,No,No,0
817,4,0,No,No,1
818,4,0,No,No,1
819,4,1,No,No,0
820,4,0,No,No,0
821,4,1,No,No,1
822,4,0,No,No,0
823,4,0,No,No,0
824,4,0,No,No,0
825,7,0,No,No,1
826,3,0,Yes,No,0
827,7,1,No,No,1
828,6,1,No,No,1
829,5,0,No,No,0
830,6,0,No,No,1
831,6,1,No,No,0
832,6,0,Yes,Yes,1
833,3,0,Yes,Yes,1
834,5,1,Yes,Yes,1
835,9,0,No,No,0
836,4,0,Yes,Yes,1
837,7,0,Yes,No,0
838,5,0,Yes,No,0
839,4,0,No,No,1
840,3,0,No,No,1
841,3,0,Yes,Yes,1
842,3,0,No,No,0
843,3,0,No,No,0
844,2,0,No,No,0
845,3,1,No,No,0
846,4,0,No,No,0
847,4,0,No,No,1
848,6,1,No,No,0
849,4,0,No,No,0
850,4,0,Yes,No,0
851,5,0,No,No,1
852,3,1,No,No,0
853,6,1,No,No,0
854,3,1,No,No,0
855,6,0,No,No,0
856,7,0,No,No,1
857,3,0,No,No,1
858,5,0,Yes,No,0
859,4,0,No,No,0
860,4,1,No,No,0
861,3,1,Yes,Yes,1
862,3,1,No,No,0
863,3,0,No,No,0
864,6,0,Yes,No,0
865,5,0,No,Yes,1
866,3,1,No,Yes,1
867,5,0,No,No,0
868,5,1,No,No,0
869,3,0,No,Yes,1
870,2,0,No,Yes,0
871,5,1,Yes,Yes,0
872,3,0,No,No,0
873,3,0,No,No,1
874,4,0,No,No,0
875,3,1,No,No,0
876,4,1,No,No,0
877,3,0,No,Yes,1
878,4,0,No,No,0
879,4,0,No,No,1
880,6,0,Yes,No,0
881,4,0,No,No,0
882,4,1,No,No,0
883,3,0,No,Yes,1
884,8,0,Yes,No,1
885,5,0,No,No,0
886,3,0,No,Yes,1
887,4,0,No,No,0
888,6,1,No,No,0
889,3,1,No,No,0
890,3,0,No,Yes,1
891,5,1,No,No,0
892,4,0,No,No,0
893,2,0,No,No,0
894,5,0,No,No,1
895,5,0,No,Yes,1
896,4,0,No,No,0
897,5,1,No,No,0
898,5,0,No,No,0
899,3,0,Yes,No,1
900,3,1,Yes,No,1
901,2,0,No,No,0
902,7,1,No,No,1
903,4,0,No,No,0
904,6,0,No,No,0
905,6,0,No,Yes,0
906,5,1,No,No,0
907,6,0,No,Yes,1
908,3,0,No,Yes,0
909,4,1,No,Yes,1
910,4,0,No,No,0
911,5,0,Yes,No,0
912,6,0,Yes,Yes,1
913,4,0,No,Yes,1
914,6,1,No,No,0
915,2,0,Yes,No,0
916,6,0,Yes,Yes,1
917,6,0,No,No,0
918,7,1,No,No,1
919,6,0,Yes,Yes,1
920,5,0,No,No,0
921,4,0,No,No,0
922,4,0,No,No,0
923,4,1,Yes,No,0
924,6,0,No,No,0
925,3,0,No,No,0
926,5,0,No,No,1
927,5,1,Yes,Yes,1
928,7,0,No,No,1
929,5,0,No,No,1
930,7,1,No,No,1
931,6,1,No,No,0
932,5,1,No,No,1
933,5,0,No,Yes,0
934,5,0,Yes,No,0
935,7,0,Yes,No,1
936,3,0,No,No,0
937,4,0,No,No,0
938,8,0,Yes,No,1
939,8,0,No,No,1
940,6,0,Yes,Yes,1
941,5,0,No,No,0
942,6,0,No,No,0
943,5,1,No,No,0
944,3,0,No,No,0
945,9,0,No,No,0
946,5,0,Yes,Yes,1
947,5,0,No,No,0
948,5,0,No,No,0
949,3,1,No,Yes,1
950,5,0,No,No,0
951,5,0,Yes,Yes,1
952,5,0,Yes,Yes,1
953,6,0,No,No,0
954,5,1,Yes,No,0
955,6,0,No,No,1
956,5,0,Yes,No,1
957,5,1,No,No,0
958,5,1,No,No,0
959,6,0,No,No,0
960,4,0,Yes,Yes,1
961,6,1,No,No,0
962,5,0,No,No,0
963,6,1,No,No,1
964,9,1,No,No,1
965,8,0,Yes,No,0
966,4,1,Yes,No,1
967,5,0,No,No,0
968,5,1,No,No,0
969,3,0,No,No,0
970,7,0,No,No,0
971,6,0,No,Yes,1
972,3,0,No,No,0
973,4,0,Yes,Yes,1
974,4,0,Yes,Yes,1
975,3,1,Yes,Yes,1
976,5,0,No,No,0
977,2,0,Yes,Yes,1
978,4,0,Yes,No,0
979,4,0,No,No,0
980,8,0,No,No,0
981,3,0,No,No,0
982,5,0,No,No,0
983,6,0,Yes,No,1
984,5,1,No,No,0
985,3,1,Yes,Yes,1
986,3,0,No,Yes,1
987,2,1,No,Yes,1
988,7,0,No,No,0
989,7,1,No,No,1
990,4,0,Yes,No,1
991,7,0,Yes,Yes,1
992,4,1,No,No,0
993,2,0,Yes,No,0
994,6,1,No,No,0
995,5,0,No,No,0
996,4,0,Yes,Yes,1
997,4,1,No,No,0
998,4,0,No,Yes,1
999,6,0,No,No,1
1000,4,0,No,No,0
1001,5,0,No,No,1
1002,8,0,No,No,0
1003,5,1,No,No,0
1004,4,1,No,No,0
1005,4,0,No,No,0
1006,6,0,No,No,0
1007,6,0,No,No,1
1008,5,0,No,Yes,1
1009,4,0,Yes,Yes,1
1010,8,0,No,No,0
1011,9,0,No,No,1
1012,5,0,No,No,0
1013,4,0,Yes,No,0
1014,5,0,No,No,1
1015,4,1,No,Yes,1
1016,9,1,No,No,0
1017,3,1,No,No,0
1018,7,0,No,No,0
1019,4,1,Yes,Yes,1
1020,4,0,No,No,0
1021,4,0,No,No,1
1022,5,0,Yes,No,0
1023,3,0,No,Yes,1
1024,9,0,No,Yes,1
1025,4,1,No,No,1
1026,4,0,No,No,0
1027,5,0,Yes,No,0
1028,3,1,No,No,0
1029,3,0,No,No,0
1030,3,1,No,No,0
1031,9,0,No,No,0
1032,3,0,No,No,1
1033,4,0,No,No,0
1034,3,0,Yes,Yes,1
1035,3,0,No,No,0
1036,5,0,No,No,0
1037,7,0,No,No,1
1038,4,0,No,No,1
1039,3,1,No,No,0
1040,3,0,Yes,No,1
1041,2,1,No,No,0
1042,2,0,No,No,0
1043,8,0,No,No,0
1044,6,0,No,Yes,1
1045,4,1,No,No,0
1046,5,1,No,No,0
1047,4,0,No,Yes,1
1048,5,1,No,No,0
1049,7,0,No,No,0
1050,2,1,No,Yes,0
1051,4,0,Yes,Yes,0
1052,7,1,No,No,0
1053,4,0,No,No,1
1054,5,0,No,No,0
1055,5,0,Yes,No,1
1056,4,0,No,No,0
1057,6,1,No,No,0
1058,6,0,Yes,Yes,0
1059,4,0,No,No,0
1060,5,1,No,No,0
1061,3,0,No,No,0
1062,4,0,No,No,0
1063,6,0,No,No,0
1064,5,0,No,No,0
1065,7,1,No,No,0
1066,5,1,No,No,1
1067,4,0,Yes,No,1
1068,4,1,No,No,1
1069,4,1,No,No,0
1070,5,1,No,No,0
1071,8,0,No,No,0
1072,6,0,No,No,0
1073,7,0,No,No,0
1074,5,1,Yes,Yes,0
1075,5,0,Yes,No,0
1076,4,0,No,Yes,1
1077,4,0,No,No,0
