index,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
170,70.7,6.4,31.0,0.2,43.1,-15.8,-12.6,-9.4,2.0,17.7
171,71.2,6.0,31.0,0.1,45.9,-15.1,-12.1,-9.1,2.3,19.96
172,38.3,8.7,31.0,0.1,5.1,-22.7,-18.3,-14.0,1.3,3.83
173,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77
174,71.9,6.2,31.0,0.1,45.1,-15.0,-11.9,-8.8,2.2,18.77
175,76.9,6.0,26.87,0.8,52.7,-5.6,-2.6,0.4,3.4,9.06
176,76.3,6.0,26.09,0.9,73.1,-4.8,-1.8,1.2,3.5,9.6
177,78.7,5.8,27.59,0.9,65.2,-6.4,-3.5,-0.6,2.8,9.83
178,79.9,6.1,25.57,0.7,51.7,-4.3,-1.2,1.9,4.1,8.89
179,78.7,5.8,27.59,0.9,65.2,-6.4,-3.5,-0.6,2.8,9.83
180,78.7,5.8,27.59,0.9,65.2,-6.4,-3.5,-0.6,2.8,9.83
181,78.7,5.8,27.59,0.9,65.2,-6.4,-3.5,-0.6,2.8,9.83
182,71.8,7.0,13.65,0.8,121.5,1.6,5.1,8.6,6.4,9.73
183,78.7,5.8,27.59,0.9,65.2,-6.4,-3.5,-0.6,2.8,9.83
184,78.7,5.8,27.59,0.9,65.2,-6.4,-3.5,-0.6,2.8,9.83
185,75.4,6.0,26.77,0.8,55.8,-5.5,-2.5,0.5,3.4,9.26
186,76.3,6.0,26.09,0.9,73.1,-4.8,-1.8,1.2,3.5,9.6
187,78.7,5.8,27.59,0.9,65.2,-6.4,-3.5,-0.6,2.8,9.83
188,78.7,5.8,27.59,0.9,65.2,-6.4,-3.5,-0.6,2.8,9.83
189,76.9,6.0,26.87,0.8,52.7,-5.6,-2.6,0.4,3.4,9.06
190,81.1,5.8,26.19,0.7,46.1,-4.9,-2.0,0.9,4.0,8.71
191,78.7,5.8,27.59,0.9,65.2,-6.4,-3.5,-0.6,2.8,9.83
192,73.3,6.1,24.82,0.8,83.2,-3.6,-0.5,2.6,4.1,9.54
193,79.9,6.1,25.57,0.7,51.7,-4.3,-1.2,1.9,4.1,8.89
194,57.5,8.7,31.0,0.2,13.9,-20.3,-15.9,-11.6,1.5,8.4
195,58.7,8.5,31.0,0.2,14.7,-19.6,-15.3,-11.1,1.5,8.55
196,26.6,16.6,0.0,7.3,16.3,19.2,27.5,35.8,13.5,4.22
197,26.6,16.6,0.0,7.3,16.3,19.2,27.5,35.8,13.5,4.22
198,71.3,6.0,31.0,0.1,44.7,-15.0,-12.0,-9.0,2.2,21.6
199,57.5,14.7,0.0,4.9,83.0,17.1,24.4,31.8,15.2,11.9
200,67.5,8.9,0.0,3.8,74.0,14.5,18.9,23.4,13.5,8.0
201,62.5,11.3,0.0,4.4,69.0,16.2,21.8,27.5,14.1,10.0
202,36.3,14.8,0.0,6.7,39.0,20.2,27.6,35.0,14.1,6.5
203,34.8,15.9,0.0,7.2,33.0,19.7,27.6,35.6,13.3,6.51
204,67.5,13.1,0.0,4.3,112.0,19.1,25.6,32.2,17.8,11.2
205,67.5,12.8,0.0,4.4,108.0,18.8,25.2,31.6,17.3,10.4
206,66.3,13.5,0.0,4.3,123.0,19.3,26.0,32.8,18.8,13.3
207,67.5,13.1,0.0,4.3,112.0,19.1,25.6,32.2,17.8,11.2
208,66.3,13.5,0.0,4.4,116.0,19.1,25.8,32.6,18.0,12.7
209,65.5,7.6,31.0,0.2,28.1,-18.5,-14.7,-10.9,1.6,14.45
210,56.8,8.0,15.26,0.8,122.3,1.0,5.0,9.0,6.5,12.25
211,72.8,6.8,30.86,0.2,35.9,-12.5,-9.1,-5.7,2.8,12.47
212,77.8,6.0,30.82,0.2,48.8,-12.3,-9.3,-6.3,2.8,11.74
213,67.2,6.3,31.0,0.1,47.0,-16.1,-12.9,-9.8,2.0,18.65
214,70.8,6.5,31.0,0.1,41.0,-15.3,-12.0,-8.8,2.2,17.13
215,63.8,14.0,0.0,4.5,111.0,19.1,26.1,33.1,18.0,13.4
216,67.5,13.1,0.0,4.3,112.0,19.1,25.6,32.2,17.8,11.2
217,67.5,12.8,0.0,4.4,108.0,18.8,25.2,31.6,17.3,10.4
218,66.3,13.5,0.0,4.4,116.0,19.1,25.8,32.6,18.0,12.7
219,66.3,13.5,0.0,4.4,116.0,19.1,25.8,32.6,18.0,12.7
220,66.3,13.3,0.0,4.4,108.0,19.2,25.8,32.5,17.8,12.0
221,67.5,13.1,0.0,4.3,112.0,19.1,25.6,32.2,17.8,11.2
222,67.5,13.1,0.0,4.3,112.0,19.1,25.6,32.2,17.8,11.2
223,67.5,12.4,0.0,3.9,152.0,18.6,24.8,31.0,20.7,14.8
224,66.3,13.3,0.0,4.4,108.0,19.2,25.8,32.5,17.8,12.0
225,67.5,13.1,0.0,4.3,112.0,19.1,25.6,32.2,17.8,11.2
226,66.3,13.5,0.0,4.4,116.0,19.1,25.8,32.6,18.0,12.7
227,63.8,12.6,0.0,4.2,125.0,18.0,24.3,30.6,17.2,15.5
228,60.0,13.7,0.0,4.6,93.0,18.3,25.1,32.0,17.1,13.7
229,60.0,13.8,0.0,4.6,92.0,17.9,24.8,31.7,15.9,14.0
230,67.5,12.2,0.0,3.9,157.0,18.4,24.5,30.6,21.1,15.1
231,66.3,12.2,0.0,4.0,146.8,19.1,25.2,31.3,21.6,14.84
232,43.8,14.2,0.0,5.7,53.0,19.1,26.2,33.3,15.5,9.5
233,66.3,12.2,0.0,4.0,146.8,19.1,25.2,31.3,21.6,14.84
234,58.2,8.1,31.0,0.3,14.6,-18.7,-14.6,-10.6,1.5,7.99
235,59.5,8.3,31.0,0.3,15.8,-18.9,-14.7,-10.6,1.5,8.88
236,59.3,8.7,31.0,0.2,12.6,-19.8,-15.4,-11.1,1.5,6.18
237,75.2,6.4,30.78,0.2,46.1,-12.1,-8.9,-5.7,2.8,13.12
238,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
239,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
240,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
241,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
242,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
243,81.2,6.3,27.14,0.8,57.7,-5.9,-2.7,0.5,3.4,10.57
244,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
245,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
246,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
247,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
248,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
249,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
250,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
251,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
252,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
253,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
254,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
255,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
256,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
257,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
258,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
259,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
260,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
261,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
262,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
263,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
264,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
265,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
266,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
267,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
268,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
269,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
270,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
271,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
272,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
273,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
274,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
275,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
276,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
277,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
278,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
279,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
280,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
281,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
282,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
283,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
284,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
285,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
286,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
287,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
288,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
289,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
290,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
291,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
292,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
293,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
294,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
295,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
296,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
297,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
298,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
299,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
300,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11
301,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
302,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
303,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
304,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
305,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
306,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
307,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
308,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
309,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
310,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
311,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
312,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8
313,71.8,7.0,13.65,0.8,121.5,1.6,5.1,8.6,6.4,9.73
314,71.9,8.4,8.31,1.1,112.3,3.7,7.9,12.1,7.5,10.82
315,71.9,8.4,8.31,1.1,112.3,3.7,7.9,12.1,7.5,10.82
316,71.9,8.4,8.31,1.1,112.3,3.7,7.9,12.1,7.5,10.82
317,71.9,8.4,8.31,1.1,112.3,3.7,7.9,12.1,7.5,10.82
318,82.0,6.0,26.09,0.7,71.6,-4.8,-1.8,1.2,3.8,10.45
319,71.8,7.0,13.65,0.8,121.5,1.6,5.1,8.6,6.4,9.73
