index,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ
28,2500,25116.0,36350.0,HomeImp,Other,10.0,1.0,2.0
29,2500,7229.0,44516.0,HomeImp,Self,,0.0,0.0
30,2500,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0
31,2800,50795.0,63100.0,HomeImp,Self,26.0,2.0,15.0
32,2800,4000.0,60850.0,HomeImp,Other,16.0,4.0,0.0
33,2900,78600.0,113000.0,DebtCon,ProfExe,6.0,1.0,0.0
34,2900,103949.0,112505.0,HomeImp,Office,1.0,0.0,0.0
35,2900,104373.0,120702.0,HomeImp,Office,2.0,0.0,0.0
36,2900,7750.0,67996.0,HomeImp,Other,16.0,3.0,0.0
37,2900,61962.0,70915.0,DebtCon,Mgr,2.0,0.0,0.0
38,3000,104570.0,121729.0,HomeImp,Office,2.0,0.0,0.0
39,3000,7000.0,20300.0,HomeImp,Other,3.0,0.0,0.0
40,3000,,8800.0,HomeImp,Other,2.0,0.0,1.0
41,3000,,33000.0,HomeImp,Other,1.0,0.0,1.0
42,3000,119826.0,193500.0,HomeImp,Other,8.0,0.0,0.0
43,3000,20000.0,29750.0,DebtCon,Other,2.0,0.0,0.0
44,3000,,14500.0,HomeImp,Other,3.0,0.0,0.0
45,3000,,14100.0,HomeImp,Other,1.0,0.0,0.0
46,3000,47000.0,82700.0,HomeImp,ProfExe,10.0,0.0,1.0
47,3000,34542.0,45900.0,HomeImp,Mgr,8.5,0.0,2.0
48,3000,58000.0,71500.0,HomeImp,Mgr,10.0,,2.0
49,3000,47000.0,56400.0,HomeImp,Office,21.0,0.0,0.0
50,3100,39589.0,36100.0,HomeImp,Other,1.5,0.0,0.0
51,3100,,70400.0,,,,,
52,3200,67848.0,74566.0,HomeImp,Mgr,10.0,,1.0
53,3200,48603.0,61000.0,HomeImp,ProfExe,28.0,0.0,4.0
54,3200,27200.0,40834.0,HomeImp,Other,,0.0,0.0
55,3200,54000.0,64850.0,HomeImp,Other,1.0,0.0,0.0
56,3200,74864.0,87266.0,HomeImp,ProfExe,7.0,0.0,0.0
57,3200,23159.0,,HomeImp,Mgr,20.0,,2.0
58,3300,126541.0,134527.0,HomeImp,Sales,9.0,1.0,0.0
59,3300,130518.0,164317.0,DebtCon,Other,9.0,0.0,6.0
60,3400,37000.0,52000.0,HomeImp,Office,2.0,0.0,1.0
61,3500,23200.0,38666.0,HomeImp,Other,11.0,0.0,0.0
62,3500,19400.0,20494.0,HomeImp,Other,5.0,0.0,0.0
63,3600,61584.0,61800.0,HomeImp,ProfExe,10.0,,
64,3600,41900.0,52490.0,HomeImp,Mgr,3.0,0.0,0.0
65,3600,83700.0,111800.0,HomeImp,ProfExe,6.0,0.0,0.0
66,3600,61327.0,76484.0,HomeImp,Mgr,9.0,,2.0
67,3600,100693.0,114743.0,HomeImp,Office,6.0,0.0,0.0
68,3600,48507.0,61000.0,DebtCon,Office,13.0,1.0,4.0
69,3600,52337.0,63989.0,HomeImp,Office,20.0,0.0,0.0
70,3700,17857.0,21144.0,HomeImp,Other,5.0,0.0,0.0
71,3800,19135.0,97692.0,HomeImp,Mgr,1.6,1.0,6.0
72,3800,51180.0,63459.0,HomeImp,Office,20.0,0.0,0.0
73,3800,,73189.0,,,,,
74,3800,11543.0,46045.0,HomeImp,Self,,0.0,0.0
75,3900,29896.0,45960.0,HomeImp,Other,11.0,0.0,0.0
76,3900,14500.0,22092.0,HomeImp,Other,3.5,0.0,1.0
77,3900,52825.0,63000.0,DebtCon,ProfExe,8.0,0.0,4.0
78,3900,102143.0,118742.0,HomeImp,Office,2.0,0.0,0.0
79,3900,21200.0,39000.0,DebtCon,Mgr,4.0,0.0,1.0
80,4000,105164.0,112774.0,HomeImp,Office,1.0,0.0,0.0
81,4000,54543.0,61777.0,HomeImp,Office,21.0,0.0,0.0
82,4000,,80609.0,HomeImp,Other,1.5,0.0,2.0
83,4000,26572.0,31960.0,HomeImp,Office,11.0,0.0,0.0
84,4000,17000.0,52012.0,HomeImp,ProfExe,22.0,3.0,1.0
85,4000,29562.0,37200.0,DebtCon,Other,6.0,0.0,0.0
86,4000,41700.0,76725.0,HomeImp,Other,0.5,0.0,3.0
87,4000,58000.0,69440.0,HomeImp,Other,3.5,0.0,1.0
88,4000,5700.0,18000.0,DebtCon,Other,,0.0,0.0
89,4000,45000.0,58350.0,HomeImp,Mgr,3.5,0.0,0.0
90,4000,7000.0,16020.0,HomeImp,Other,18.0,0.0,1.0
91,4000,66000.0,79050.0,HomeImp,Other,1.8,2.0,0.0
92,4000,,45760.0,HomeImp,,0.0,0.0,0.0
93,4000,62000.0,78000.0,HomeImp,Other,4.0,0.0,0.0
94,4000,64240.0,63990.0,HomeImp,Sales,5.0,2.0,0.0
95,4000,74000.0,93000.0,HomeImp,ProfExe,2.6,1.0,3.0
96,4000,55000.0,59000.0,DebtCon,Other,12.0,2.0,0.0
97,4000,67625.0,80698.0,HomeImp,Mgr,11.0,,1.0
98,4000,67533.0,71865.0,HomeImp,Mgr,10.0,,2.0
99,4100,,19132.0,HomeImp,Other,0.0,0.0,0.0
100,4100,58500.0,65000.0,HomeImp,Other,8.0,1.0,2.0
101,4100,57992.0,63797.0,DebtCon,ProfExe,7.0,0.0,4.0
102,4200,56544.0,59218.0,HomeImp,Office,19.0,0.0,0.0
103,4200,34800.0,50225.0,HomeImp,Other,2.0,1.0,0.0
104,4200,67700.0,77000.0,DebtCon,Sales,4.0,0.0,0.0
105,4200,44000.0,55085.0,DebtCon,,6.0,,1.0
106,4200,66272.0,82953.0,HomeImp,Other,3.0,0.0,0.0
107,4200,50216.0,58541.0,HomeImp,Office,19.0,0.0,0.0
108,4300,71206.0,78698.0,DebtCon,Sales,3.0,0.0,0.0
109,4300,68815.0,79852.0,HomeImp,Other,6.0,0.0,0.0
110,4300,72021.0,80027.0,HomeImp,Other,2.0,2.0,0.0
111,4400,53969.0,63869.0,DebtCon,ProfExe,7.0,0.0,3.0
112,4400,,60250.0,,,,,
113,4400,53091.0,64074.0,DebtCon,Office,14.0,1.0,3.0
114,4500,66127.0,79087.0,HomeImp,Other,4.0,1.0,0.0
115,4500,,77182.0,,,,,
116,4500,39000.0,66000.0,HomeImp,Other,1.0,0.0,0.0
117,4500,71082.0,79247.0,HomeImp,Other,4.0,0.0,0.0
118,4500,,49044.0,HomeImp,,0.0,0.0,0.0
119,4500,57000.0,,HomeImp,Other,5.0,,
120,4500,34184.0,46000.0,HomeImp,Mgr,3.5,0.0,1.0
121,4500,66517.0,87000.0,DebtCon,ProfExe,10.0,0.0,4.0
122,4500,45500.0,50000.0,HomeImp,Other,6.0,0.0,0.0
123,4500,118000.0,146870.0,HomeImp,ProfExe,4.5,2.0,0.0
124,4500,90000.0,105800.0,HomeImp,Other,6.0,2.0,3.0
125,4700,67913.0,97205.0,,Mgr,2.0,0.0,0.0
126,4700,71855.0,88566.0,HomeImp,Other,2.0,2.0,0.0
127,4700,53918.0,59511.0,DebtCon,,6.0,,0.0
128,4700,49100.0,58238.0,HomeImp,ProfExe,0.1,0.0,0.0
129,4700,88026.0,115506.0,HomeImp,ProfExe,6.0,0.0,0.0
130,4700,26900.0,45000.0,HomeImp,ProfExe,9.0,1.0,2.0
131,4800,67317.0,97191.0,,Mgr,3.0,0.0,0.0
132,4800,56067.0,63102.0,DebtCon,ProfExe,9.0,0.0,3.0
133,4800,80482.0,88342.0,HomeImp,ProfExe,7.0,0.0,0.0
134,4900,58688.0,63348.0,DebtCon,ProfExe,9.0,0.0,3.0
135,4900,65873.0,90408.0,,Mgr,2.0,0.0,0.0
136,4900,25597.0,23031.0,HomeImp,Other,5.0,0.0,0.0
137,4900,67794.0,84630.0,HomeImp,Other,4.0,0.0,0.0
138,4900,44000.0,59745.0,HomeImp,Other,10.0,0.0,0.0
139,4900,,28437.5,HomeImp,,,,
140,4900,170986.0,245300.0,DebtCon,Sales,,0.0,0.0
141,4900,65576.0,65774.0,HomeImp,Other,6.0,1.0,2.0
142,4900,57461.0,68494.0,DebtCon,ProfExe,8.0,0.0,4.0
143,4900,,69706.0,,,,,
144,5000,,34846.0,HomeImp,,,,
145,5000,47479.0,61690.0,DebtCon,,5.0,,0.0
146,5000,66839.0,87168.0,HomeImp,Other,4.0,0.0,0.0
147,5000,12457.0,53448.0,HomeImp,Self,,0.0,0.0
148,5000,90059.0,113714.0,HomeImp,ProfExe,7.0,0.0,0.0
149,5000,22320.0,34900.0,HomeImp,Other,10.0,0.0,0.0
150,5000,40000.0,70500.0,HomeImp,Mgr,0.4,0.0,0.0
151,5000,100882.0,102700.0,HomeImp,Mgr,5.0,0.0,1.0
152,5000,31000.0,47350.0,HomeImp,ProfExe,12.0,,
153,5000,63125.0,126500.0,HomeImp,Office,3.0,0.0,0.0
154,5000,100000.0,129693.5,HomeImp,Mgr,13.0,,
155,5000,,132000.0,HomeImp,Other,17.5,0.0,2.0
156,5000,,9100.0,HomeImp,Other,1.0,0.0,0.0
157,5000,34200.0,50830.0,HomeImp,Other,6.0,0.0,0.0
158,5000,,71277.0,HomeImp,Other,10.0,0.0,0.0
159,5000,123000.0,157500.0,HomeImp,Mgr,9.0,,
160,5000,16600.0,25250.0,HomeImp,Other,6.0,0.0,0.0
161,5000,,52000.0,HomeImp,Other,,0.0,1.0
162,5000,22700.0,34225.0,HomeImp,Other,4.0,0.0,0.0
163,5000,6000.0,38575.0,HomeImp,Self,7.0,0.0,1.0
164,5000,,74500.0,HomeImp,Other,19.0,,
165,5000,,94119.0,HomeImp,Other,19.0,,
166,5000,73126.0,87500.0,DebtCon,Other,1.0,0.0,0.0
167,5000,72517.0,86250.0,DebtCon,Mgr,19.0,0.0,1.0
168,5000,26037.0,35000.0,HomeImp,ProfExe,12.0,0.0,0.0
169,5000,39000.0,50340.0,HomeImp,Office,10.0,,
170,5000,,26550.0,DebtCon,Other,1.7,0.0,0.0
171,5000,70470.0,77908.0,DebtCon,,5.0,,
172,5000,,36375.0,HomeImp,Other,3.0,0.0,0.0
173,5000,74225.0,89640.0,DebtCon,ProfExe,0.3,,
174,5000,,65400.0,HomeImp,Office,1.5,0.0,0.0
175,5000,,37500.0,HomeImp,Other,,0.0,3.0
176,5000,78565.0,98500.0,DebtCon,ProfExe,24.0,0.0,0.0
177,5000,59900.0,80800.0,DebtCon,ProfExe,15.0,0.0,0.0
178,5000,10171.0,26809.0,HomeImp,Office,13.0,3.0,6.0
179,5000,78893.0,82600.0,HomeImp,Mgr,16.0,0.0,0.0
180,5000,85165.0,107940.0,HomeImp,Mgr,6.0,5.0,3.0
181,5000,68000.0,75616.0,DebtCon,ProfExe,0.1,0.0,0.0
182,5000,71571.0,85100.0,DebtCon,ProfExe,1.4,0.0,1.0
183,5000,28000.0,36810.0,DebtCon,Other,2.0,1.0,0.0
184,5000,40000.0,32480.0,HomeImp,Other,8.0,3.0,2.0
185,5000,81748.0,,DebtCon,ProfExe,14.0,1.0,2.0
186,5000,44674.0,59375.0,HomeImp,Office,10.0,,
187,5000,61999.0,75021.3,HomeImp,Other,5.0,0.0,0.0
188,5000,80153.0,97275.0,DebtCon,Other,1.0,0.0,0.0
189,5000,68739.0,93435.0,,Mgr,3.0,0.0,0.0
190,5000,51209.0,55320.0,DebtCon,,5.0,,1.0
191,5000,46696.0,85202.0,HomeImp,Other,2.0,1.0,2.0
192,5000,,46281.0,HomeImp,Other,2.0,0.0,0.0
193,5000,66435.0,82819.0,HomeImp,Other,2.0,0.0,0.0
194,5100,179725.0,251962.0,DebtCon,Sales,,0.0,0.0
195,5100,85583.0,115341.0,HomeImp,ProfExe,7.0,0.0,0.0
196,5100,72891.0,80691.0,HomeImp,Other,1.0,1.0,0.0
197,5100,30755.0,46735.0,HomeImp,Other,10.0,0.0,0.0
198,5100,,26715.0,DebtCon,Other,1.0,0.0,0.0
199,5100,87258.0,121382.0,HomeImp,ProfExe,6.0,0.0,0.0
200,5100,,28291.0,DebtCon,Other,2.0,0.0,0.0
201,5100,9900.0,30451.0,HomeImp,Other,11.0,0.0,0.0
202,5100,93000.0,116875.0,HomeImp,Other,10.0,,
203,5100,15500.0,34000.0,DebtCon,Other,0.0,1.0,2.0
204,5100,129319.0,141875.0,HomeImp,Sales,7.0,1.0,0.0
205,5100,66834.0,87361.0,HomeImp,Other,0.0,2.0,0.0
206,5100,73882.0,96031.0,DebtCon,Other,0.0,0.0,0.0
207,5100,74071.0,97064.0,DebtCon,Other,0.0,0.0,0.0
208,5100,62702.0,79784.0,HomeImp,Other,2.0,0.0,0.0
209,5200,,36425.0,DebtCon,Other,2.0,0.0,0.0
210,5200,67000.0,77000.0,HomeImp,Other,9.0,0.0,1.0
211,5200,43039.0,53521.0,HomeImp,Office,11.0,,
212,5200,19000.0,26000.0,DebtCon,Other,0.0,1.0,0.0
213,5200,,9500.0,DebtCon,Other,1.0,0.0,1.0
214,5200,91250.0,110000.0,HomeImp,Office,24.0,0.0,0.0
215,5200,16324.0,45187.0,HomeImp,Self,,0.0,0.0
216,5200,40564.0,39527.0,HomeImp,Other,0.0,0.0,0.0
217,5300,73698.0,84427.0,DebtCon,,4.0,,
218,5300,66987.0,65111.0,HomeImp,Sales,4.0,1.0,0.0
219,5300,26908.0,36078.0,HomeImp,Other,,0.0,0.0
220,5300,,49396.0,HomeImp,,0.0,0.0,0.0
221,5300,44993.0,50673.0,HomeImp,Office,7.0,,
222,5300,51000.0,64000.0,HomeImp,Mgr,10.0,1.0,0.0
223,5300,75958.0,91703.0,DebtCon,Other,0.0,0.0,0.0
224,5300,97132.0,117343.0,HomeImp,Office,22.0,0.0,0.0
225,5300,60826.0,80826.0,HomeImp,Mgr,10.0,,1.0
226,5300,83552.0,96809.0,DebtCon,ProfExe,0.0,,
227,5300,47449.0,63895.0,HomeImp,Office,19.0,0.0,0.0
228,5300,50934.0,62957.0,HomeImp,Office,21.0,0.0,0.0
229,5400,53429.0,64505.0,DebtCon,,5.0,,0.0
230,5400,,65474.0,HomeImp,Office,1.0,0.0,0.0
231,5400,47844.0,52040.0,HomeImp,Office,8.0,,
232,5400,45509.0,57453.0,DebtCon,Sales,4.0,0.0,0.0
233,5400,59720.0,63450.0,HomeImp,ProfExe,5.0,0.0,1.0
234,5400,86922.0,119846.0,HomeImp,ProfExe,5.0,0.0,0.0
235,5400,68625.0,82304.0,DebtCon,Sales,2.0,0.0,0.0
236,5400,65814.0,85848.0,HomeImp,Other,4.0,0.0,0.0
237,5400,,75254.0,,,,,
238,5400,78300.0,88000.0,HomeImp,ProfExe,8.0,0.0,0.0
239,5400,48152.0,55760.0,DebtCon,,6.0,,0.0
240,5500,70481.0,82446.0,HomeImp,Other,8.0,0.0,1.0
241,5500,,35402.0,HomeImp,,,,
242,5500,87765.0,101053.0,DebtCon,ProfExe,22.0,0.0,0.0
243,5500,52897.0,65054.0,HomeImp,Office,20.0,0.0,0.0
244,5500,24700.0,35675.0,DebtCon,Other,1.0,0.0,3.0
245,5500,,43132.0,HomeImp,Other,,,
246,5500,43486.0,81600.0,DebtCon,,4.0,0.0,0.0
247,5500,21359.0,30000.0,DebtCon,Other,7.0,3.0,2.0
248,5500,,13770.0,HomeImp,Mgr,5.0,0.0,1.0
249,5500,93051.0,115374.0,HomeImp,ProfExe,6.0,0.0,0.0
250,5500,87438.0,116679.0,HomeImp,ProfExe,6.0,0.0,0.0
251,5500,78059.0,78179.0,DebtCon,,5.0,,
252,5500,72147.0,69918.0,HomeImp,Sales,4.0,2.0,0.0
253,5500,40584.0,46645.0,HomeImp,Other,4.0,0.0,1.0
254,5500,,12972.0,HomeImp,Other,1.0,0.0,1.0
255,5500,37368.0,48502.0,HomeImp,Mgr,9.0,0.0,2.0
256,5500,,66251.0,HomeImp,Office,1.0,0.0,0.0
257,5500,71644.0,72696.0,HomeImp,Sales,4.0,2.0,0.0
258,5500,85845.0,122205.0,DebtCon,ProfExe,5.0,0.0,0.0
259,5600,53793.0,66379.0,HomeImp,Office,22.0,0.0,0.0
260,5600,69435.0,83489.0,DebtCon,ProfExe,14.0,0.0,0.0
261,5600,29648.0,39907.0,HomeImp,ProfExe,11.0,0.0,0.0
262,5600,76407.0,77485.0,HomeImp,Other,9.0,0.0,0.0
263,5600,5000.0,66700.0,HomeImp,Other,31.0,1.0,1.0
264,5600,55160.0,86800.0,HomeImp,Other,3.0,1.0,1.0
265,5600,41439.0,53893.0,HomeImp,Office,8.0,,
266,5600,15275.0,47954.0,HomeImp,Self,,0.0,0.0
267,5700,100934.0,111496.0,HomeImp,Office,23.0,0.0,0.0
268,5700,,74685.0,,,,,
269,5700,49514.0,58249.0,HomeImp,Office,21.0,0.0,0.0
270,5700,76948.0,85753.0,HomeImp,Other,7.0,0.0,0.0
271,5700,28127.0,36524.0,HomeImp,ProfExe,10.0,0.0,0.0
272,5700,,68591.0,HomeImp,Office,0.0,0.0,0.0
273,5700,26927.0,35461.0,DebtCon,Other,0.0,1.0,0.0
274,5700,49806.0,82242.0,DebtCon,,3.0,0.0,0.0
275,5700,70000.0,84579.0,DebtCon,Sales,0.1,0.0,0.0
276,5700,58400.0,75000.0,HomeImp,ProfExe,4.0,0.0,0.0
277,5700,80437.0,109647.0,HomeImp,ProfExe,9.5,0.0,0.0
278,5700,77213.0,92661.0,DebtCon,Sales,0.0,0.0,0.0
279,5700,62319.0,82923.0,HomeImp,Other,4.0,0.0,0.0
280,5700,71556.0,79538.0,HomeImp,Other,2.0,0.0,0.0
281,5700,,39052.0,HomeImp,Other,3.0,0.0,0.0
282,5700,74172.0,79846.0,DebtCon,ProfExe,0.0,0.0,0.0
283,5700,28116.0,33450.0,DebtCon,Other,0.0,1.0,0.0
284,5700,,64910.0,,,,,
285,5700,,69172.0,HomeImp,Office,1.0,0.0,0.0
286,5800,,36385.0,HomeImp,Other,2.0,0.0,0.0
287,5800,,41119.0,HomeImp,Other,2.0,0.0,0.0
288,5800,75000.0,90543.0,DebtCon,Mgr,18.0,0.0,0.0
289,5800,79296.0,86885.0,DebtCon,Mgr,19.0,0.0,1.0
290,5800,27791.0,46833.0,DebtCon,Mgr,3.0,0.0,0.0
291,5800,172595.0,250155.0,DebtCon,Sales,,0.0,0.0
292,5800,,34704.0,HomeImp,,,,
293,5800,,73804.0,HomeImp,Office,1.0,0.0,0.0
294,5800,46595.0,58191.0,HomeImp,Other,5.0,0.0,0.0
295,5900,,28000.0,DebtCon,Self,1.0,2.0,1.0
296,5900,70973.0,77989.0,HomeImp,Other,7.0,0.0,0.0
297,5900,,33100.0,HomeImp,Other,,0.0,0.0
298,5900,,51189.0,HomeImp,,1.0,0.0,0.0
299,5900,82912.0,91175.0,DebtCon,ProfExe,2.0,,
300,5900,25972.0,41856.0,DebtCon,Other,2.0,0.0,2.0
301,5900,74187.0,78976.0,HomeImp,Other,9.0,0.0,1.0
302,5900,,66903.0,,,,,
303,5900,106650.0,,DebtCon,Mgr,1.0,0.0,6.0
304,6000,,69492.0,,,,,
305,6000,95232.0,115977.0,HomeImp,Office,22.0,0.0,0.0
306,6000,47625.0,85925.0,HomeImp,Office,0.1,2.0,1.0
307,6000,24600.0,30500.0,HomeImp,Other,4.5,0.0,1.0
308,6000,65000.0,94355.0,,Other,26.0,1.0,3.0
309,6000,,,HomeImp,Office,13.0,,2.0
310,6000,33600.0,,HomeImp,Other,2.0,0.0,0.0
311,6000,42000.0,58305.0,DebtCon,Other,19.0,0.0,0.0
312,6000,32446.0,54904.0,HomeImp,Other,2.0,0.0,0.0
313,6000,9660.0,35900.0,DebtCon,Other,8.0,0.0,1.0
314,6000,22859.0,32200.0,DebtCon,Other,4.0,0.0,0.0
315,6000,16878.0,25850.0,,Mgr,1.0,0.0,1.0
316,6000,72951.0,80000.0,HomeImp,Other,22.8,0.0,0.0
317,6000,43000.0,57460.0,HomeImp,Other,1.6,1.0,
318,6000,53500.0,64790.0,DebtCon,Other,0.1,0.0,2.0
319,6000,69876.0,94394.07,HomeImp,Other,0.0,0.0,1.0
320,6000,51000.0,86125.0,HomeImp,ProfExe,6.0,0.0,0.0
321,6000,53227.0,68700.0,HomeImp,Mgr,3.0,0.0,2.0
322,6000,,43300.0,HomeImp,Other,,,
323,6000,14000.0,61493.0,HomeImp,Office,23.0,0.0,0.0
324,6000,40000.0,54600.0,HomeImp,ProfExe,4.0,0.0,4.0
325,6000,18793.0,27750.0,HomeImp,Mgr,6.0,0.0,3.0
326,6000,179397.0,200000.0,DebtCon,ProfExe,5.0,6.0,0.0
327,6000,,95500.0,HomeImp,Mgr,6.0,1.0,2.0
328,6000,79046.0,103048.0,HomeImp,Other,0.0,0.0,0.0
329,6000,,53190.0,HomeImp,,0.0,0.0,0.0
330,6000,,43683.0,HomeImp,Other,,,
331,6000,129731.0,154113.0,HomeImp,ProfExe,12.0,0.0,0.0
332,6100,48500.0,62500.0,DebtCon,Mgr,7.0,,4.0
333,6100,,47400.0,,,,,
334,6100,91704.0,114799.0,HomeImp,Office,22.0,0.0,0.0
335,6100,47604.0,54966.0,HomeImp,Other,5.0,0.0,0.0
336,6100,,35250.0,HomeImp,Other,,,
337,6100,62751.0,95617.0,HomeImp,Other,1.0,0.0,0.0
338,6100,48300.0,53388.0,HomeImp,Office,9.0,,
339,6100,68743.0,65321.0,HomeImp,Sales,3.0,1.0,0.0
340,6100,79636.0,87276.0,HomeImp,Other,20.0,0.0,0.0
341,6100,,46830.0,HomeImp,,0.0,0.0,1.0
342,6100,78753.0,95433.0,DebtCon,ProfExe,0.0,,
343,6100,77265.0,97944.0,DebtCon,ProfExe,0.0,,
344,6200,75657.0,84368.0,DebtCon,Sales,4.0,0.0,0.0
345,6200,171582.0,245730.0,DebtCon,Sales,,0.0,0.0
346,6200,,33909.0,HomeImp,,,,
347,6200,46601.0,59486.0,HomeImp,Other,5.0,0.0,0.0
348,6200,60354.0,87596.0,HomeImp,ProfExe,5.0,0.0,0.0
349,6200,45356.0,82054.0,DebtCon,,2.0,0.0,0.0
350,6200,,41657.0,HomeImp,Other,,,
351,6200,,,DebtCon,Self,3.0,,
352,6200,,80078.0,,,,,
353,6200,42100.0,57385.0,DebtCon,Other,8.5,0.0,1.0
354,6200,70793.0,71552.0,HomeImp,Sales,3.0,2.0,0.0
355,6200,73881.0,98550.0,HomeImp,Other,0.0,0.0,1.0
356,6200,45787.0,64854.0,DebtCon,,4.0,,1.0
357,6200,75121.0,96462.0,DebtCon,ProfExe,0.0,,
358,6200,,51732.0,,,,,
359,6200,133882.0,155222.0,HomeImp,ProfExe,9.0,0.0,0.0
360,6200,75623.0,89634.0,HomeImp,Other,24.0,0.0,0.0
361,6200,45564.0,61956.0,HomeImp,Other,2.0,0.0,
362,6300,99469.0,116260.0,HomeImp,Office,23.0,0.0,0.0
363,6300,55000.0,69000.0,DebtCon,ProfExe,13.0,0.0,0.0
364,6300,,72890.0,HomeImp,Office,1.0,0.0,0.0
365,6300,44226.0,57779.0,DebtCon,,7.0,,0.0
366,6300,,39050.0,HomeImp,Other,,,
367,6300,78724.0,80355.0,HomeImp,Other,24.0,0.0,0.0
368,6300,59793.0,98314.0,DebtCon,Self,2.2,0.0,0.0
369,6300,65875.0,76000.0,DebtCon,Mgr,0.8,2.0,0.0
370,6300,45582.0,89005.0,DebtCon,,2.0,0.0,0.0
371,6300,92659.0,117352.0,HomeImp,ProfExe,6.0,0.0,0.0
372,6300,58052.0,70091.0,DebtCon,ProfExe,9.0,0.0,4.0
373,6300,49498.0,64296.0,DebtCon,Mgr,6.0,,4.0
374,6300,79667.0,96988.0,DebtCon,ProfExe,1.0,,
375,6300,12476.0,32559.0,HomeImp,Office,12.0,3.0,6.0
376,6300,69357.0,73726.0,HomeImp,Sales,3.0,2.0,0.0
377,6300,26655.0,29792.0,DebtCon,Other,1.0,1.0,0.0
378,6400,25144.0,45200.0,HomeImp,Other,25.0,0.0,2.0
379,6400,99131.0,125652.0,HomeImp,Other,8.0,,
380,6400,76577.0,83200.0,DebtCon,,5.0,,
381,6400,47251.0,58157.0,HomeImp,Other,0.0,0.0,
382,6400,53476.0,70157.0,DebtCon,ProfExe,7.0,0.0,3.0
383,6400,81116.0,86148.0,HomeImp,ProfExe,8.0,0.0,0.0
384,6400,17491.0,63614.0,HomeImp,Office,23.0,0.0,0.0
385,6400,65215.0,74332.0,HomeImp,Mgr,9.0,,1.0
386,6400,62746.0,75016.0,DebtCon,ProfExe,12.0,0.0,0.0
387,6400,76732.0,78084.0,HomeImp,Other,8.0,0.0,0.0
388,6400,70035.0,78635.0,DebtCon,Sales,3.0,0.0,0.0
389,6400,39687.0,51666.0,HomeImp,Office,9.0,,
390,6400,51436.0,91284.0,DebtCon,,4.0,0.0,0.0
391,6400,44968.0,62747.0,HomeImp,Other,0.0,1.0,
392,6400,9113.0,46351.0,HomeImp,Self,,0.0,0.0
393,6400,28041.0,33438.0,DebtCon,Other,1.0,1.0,0.0
394,6400,57887.0,74776.0,HomeImp,Mgr,3.0,0.0,1.0
395,6500,47949.0,53102.0,HomeImp,Office,9.0,,
396,6500,,37448.0,HomeImp,Other,,,
397,6500,60054.0,70434.0,HomeImp,Other,1.0,0.0,0.0
398,6500,80739.0,97630.0,DebtCon,ProfExe,1.0,,
399,6500,63144.0,76754.0,HomeImp,Mgr,2.0,0.0,2.0
400,6500,33639.0,37345.0,HomeImp,ProfExe,11.0,0.0,0.0
401,6500,78741.0,90599.0,DebtCon,ProfExe,0.0,,
402,6500,51724.0,87770.0,DebtCon,,4.0,0.0,0.0
403,6500,13600.0,,HomeImp,Other,14.0,2.0,5.0
404,6500,48000.0,61000.0,DebtCon,Other,1.0,1.0,0.0
405,6500,65000.0,80400.0,DebtCon,Other,15.0,0.0,0.0
406,6500,22789.0,35836.0,HomeImp,Office,1.0,0.0,0.0
407,6500,75113.0,115900.0,HomeImp,Office,29.0,0.0,0.0
