index,CLAGE,NINQ,CLNO,DEBTINC,y
123,203.86666667,1.0,20.0,,1
124,80.1,3.0,10.0,,1
125,142.82439151,0.0,24.0,35.226997192,0
126,283.95953809,0.0,5.0,36.475473283,0
127,54.13647743,,15.0,34.416507811,0
128,61.8,2.0,17.0,,1
129,182.24833156,0.0,27.0,29.20902258,0
130,90.466666667,1.0,16.0,,1
131,137.31972481,0.0,23.0,34.275293777,0
132,160.14631128,1.0,30.0,21.583760121,0
133,275.03239483,0.0,11.0,43.717635112,0
134,179.16257471,2.0,31.0,22.544392837,0
135,141.85899895,0.0,23.0,37.76961861,0
136,101.74676644,0.0,8.0,33.243156978,1
137,112.57341888,0.0,15.0,41.673996362,0
138,81.5,3.0,13.0,,1
139,,,,,0
140,131.93333333,0.0,22.0,,0
141,61.64250608,1.0,14.0,40.590910018,1
142,183.63561323,0.0,30.0,22.795423552,0
143,,,,33.705587738,0
144,,,,33.354652626,0
145,65.032969007,,16.0,36.699414922,0
146,122.59722258,0.0,15.0,40.616779346,0
147,207.14348133,0.0,12.0,44.107951691,0
148,193.63644686,0.0,28.0,25.897316482,0
149,65.7,1.0,5.0,,1
150,61.766666667,2.0,8.0,,1
151,58.866666667,0.0,16.0,,1
152,,,,,1
153,100.3,0.0,14.0,,1
154,,,,,1
155,121.9,0.0,14.0,,1
156,54.733333333,2.0,8.0,,1
157,57.0,1.0,9.0,,1
158,72.433333333,1.0,12.0,,1
159,,,,,1
160,88.7,1.0,3.0,,1
161,285.33333333,0.0,6.0,,1
162,74.633333333,3.0,9.0,,1
163,335.03333333,3.0,42.0,,1
164,,,,,1
165,,,,,1
166,125.96666667,2.0,10.0,,0
167,300.36666667,1.0,24.0,,0
168,182.63333333,0.0,13.0,,0
169,179.83333333,,19.0,,0
170,276.96666667,1.0,14.0,,0
171,,,,,0
172,266.8,1.0,26.0,,0
173,,,,,0
174,51.766666667,0.0,4.0,,0
175,107.13333333,10.0,5.0,,1
176,51.766666667,3.0,14.0,,0
177,219.13333333,1.0,18.0,,0
178,228.3,0.0,24.0,,1
179,133.9,1.0,34.0,,1
180,122.76666667,5.0,28.0,,1
181,131.86666667,0.0,30.0,,1
182,82.133333333,0.0,13.0,,1
183,222.2,1.0,6.0,,1
184,163.36666667,1.0,16.0,,1
185,144.06666667,2.0,17.0,,1
186,178.6925087,,19.0,26.448197463,0
187,97.1,0.0,23.0,,1
188,120.67506316,2.0,10.0,37.512708409,0
189,148.72040469,0.0,23.0,36.669278612,0
190,69.107465597,,15.0,35.025072968,0
191,148.34064549,0.0,14.0,46.489874001,1
192,257.6522064,0.0,26.0,40.952588884,0
193,125.13062556,0.0,14.0,42.183538672,0
194,127.49881344,0.0,22.0,40.308259362,0
195,177.95825512,1.0,28.0,26.257970132,0
196,273.88170516,0.0,6.0,39.852146515,0
197,69.0,0.0,17.0,,1
198,258.78929762,0.0,14.0,26.722343337,0
199,181.66304016,0.0,28.0,25.444759149,0
200,277.94456081,1.0,14.0,23.644691283,0
201,21.2,0.0,2.0,,1
202,417.63333333,2.0,50.0,,0
203,86.233333333,2.0,13.0,,1
204,157.85980209,0.0,36.0,25.650741224,1
205,290.03410799,0.0,6.0,38.766985071,0
206,125.78740011,1.0,10.0,34.446079222,0
207,121.0759726,2.0,9.0,36.401729548,0
208,108.07259081,0.0,15.0,43.290139816,0
209,266.81346457,1.0,14.0,23.797401058,0
210,119.7,0.0,25.0,,0
211,184.29668729,,19.0,24.414763177,0
212,17.2,10.0,7.0,,0
213,81.1,1.0,2.0,,1
214,123.76666667,1.0,12.0,,0
215,221.11808171,0.0,11.0,42.712093844,0
216,157.77103572,1.0,13.0,72.670433313,1
217,,,,19.131201179,0
218,175.32870382,1.0,22.0,40.442570389,0
219,302.35870946,0.0,8.0,39.196985402,1
220,,0.0,0.0,12.043670576,0
221,184.74276716,,18.0,27.906122726,0
222,98.333333333,0.0,12.0,,1
223,124.1821788,1.0,10.0,34.599060194,0
224,109.93390789,1.0,11.0,35.8385427,0
225,212.89174607,0.0,25.0,38.591494028,0
226,,,,28.423961906,0
227,208.16271401,0.0,20.0,19.762113701,0
228,197.24195728,0.0,20.0,19.350505633,0
229,69.542430107,,16.0,36.480236299,0
230,40.709849004,0.0,4.0,37.848771035,0
231,189.03430464,,18.0,24.701136262,0
232,95.6,0.0,22.0,,1
233,199.9,1.0,20.0,,1
234,185.07634726,1.0,28.0,26.354889295,0
235,136.63294416,0.0,30.0,32.05002349,0
236,122.9402886,0.0,15.0,44.092325682,0
237,,,,23.163742947,0
238,102.5,3.0,19.0,,1
239,78.452125766,,16.0,35.763637997,0
240,116.59197688,0.0,24.0,37.612682724,0
241,,,,35.272073735,0
242,55.558049044,2.0,13.0,31.375542416,0
243,189.29531847,0.0,19.0,20.654128896,0
244,153.93333333,3.0,27.0,,1
245,,,,,1
246,216.13333333,4.0,30.0,,0
247,130.8,3.0,14.0,,1
248,167.36666667,1.0,8.0,,1
249,187.02051879,1.0,27.0,27.646748505,0
250,186.42441602,1.0,27.0,28.417530896,0
251,,,,20.679313582,0
252,158.5344979,0.0,23.0,43.404430238,0
253,136.32063746,0.0,13.0,34.494708965,1
254,82.294266354,0.0,2.0,36.986744097,1
255,48.995845002,0.0,10.0,33.126483967,1
256,43.722336946,0.0,3.0,41.452043532,0
257,150.86584513,0.0,22.0,40.442567785,0
258,172.21327665,1.0,26.0,32.676640875,1
259,206.09913412,0.0,19.0,18.369540527,0
260,200.41843402,1.0,17.0,22.841092848,0
261,180.56306914,0.0,13.0,21.554949656,0
262,91.683770634,0.0,24.0,37.773350976,0
263,204.06666667,0.0,11.0,,1
264,148.13333333,1.0,14.0,,1
265,181.32298993,,19.0,24.651395744,0
266,204.33524504,0.0,12.0,42.397769638,0
267,117.49959288,0.0,12.0,38.750562668,0
268,,,,24.274865275,0
269,212.53911509,0.0,21.0,21.258026878,0
270,128.47645151,0.0,25.0,37.85968784,0
271,181.28295679,0.0,13.0,24.339533569,0
272,69.645660473,0.0,4.0,41.185039558,0
273,21.799352154,10.0,6.0,29.439664242,0
274,210.34747857,3.0,30.0,31.243408701,0
275,95.9,1.0,17.0,,1
276,177.5,2.0,26.0,,1
277,104.4,0.0,14.0,,1
278,97.133170952,1.0,16.0,41.777888631,1
279,117.6739652,0.0,15.0,42.464866285,0
280,92.643084556,0.0,15.0,41.21001247,0
281,272.22062826,0.0,25.0,39.896104618,0
282,157.00977472,0.0,28.0,47.415228659,1
283,15.396587392,9.0,7.0,30.017013296,0
284,,,,33.850461221,0
285,48.853667057,0.0,3.0,38.773685963,0
286,266.55339438,1.0,25.0,43.309764541,0
287,261.40521864,0.0,26.0,42.191941556,0
288,300.4872058,1.0,23.0,38.940575356,0
289,307.9748816,1.0,23.0,39.959108765,0
290,83.289062746,1.0,13.0,30.187805389,1
291,126.40098356,0.0,21.0,43.20775979,0
292,,,,34.174055545,0
293,71.766557161,0.0,4.0,41.287423388,0
294,80.131746414,0.0,17.0,24.140153667,0
295,36.766666667,1.0,8.0,,1
296,120.37941429,0.0,24.0,41.442500462,0
297,238.6,1.0,2.0,,1
298,,0.0,0.0,12.749180645,0
299,,,,27.595273523,0
300,157.96001139,3.0,27.0,40.628278175,1
301,118.44249103,0.0,24.0,40.110407425,0
302,,,,32.782926828,0
303,250.56666667,4.0,23.0,,1
304,,,,32.977197226,0
305,149.0229081,1.0,12.0,37.954336913,0
306,154.13333333,4.0,26.0,,1
307,116.1,8.0,34.0,,1
308,69.3,1.0,34.0,,1
309,122.76666667,,23.0,,1
310,140.93333333,1.0,20.0,,1
311,90.0,2.0,13.0,,1
312,51.733333333,1.0,9.0,,1
313,136.3,3.0,6.0,,1
314,83.333333333,3.0,20.0,,1
315,218.6,5.0,34.0,,1
316,343.9,1.0,47.0,,0
317,101.5,,13.0,,0
318,105.4,3.0,18.0,,0
319,179.56666667,0.0,32.0,,0
320,222.16666667,2.0,24.0,,0
321,122.73333333,0.0,23.0,,0
322,100.93333333,,9.0,,0
323,321.63333333,1.0,13.0,,0
324,101.4,0.0,19.0,,1
325,119.7,0.0,8.0,,1
326,90.3,6.0,29.0,,1
327,129.9,1.0,22.0,,1
328,181.69653802,0.0,32.0,37.289989924,0
329,,0.0,0.0,15.174415003,0
330,,,,21.935498813,1
331,213.53333333,0.0,19.0,,0
332,111.3,2.0,11.0,,0
333,,,,,0
334,129.25008957,1.0,12.0,36.746766237,0
335,70.69532973,0.0,18.0,24.76674453,0
336,303.0,,12.0,,0
337,138.64686318,1.0,13.0,31.757270694,1
338,178.48960216,,19.0,26.72002818,0
339,153.0667831,0.0,22.0,40.15052706,0
340,350.43613755,0.0,47.0,28.848276581,0
341,,0.0,0.0,13.306013076,0
342,,,,28.925117417,0
343,,,,28.876463055,0
344,122.24494502,0.0,30.0,32.552543335,0
345,135.10893025,0.0,22.0,39.783818126,0
346,,,,34.517404516,0
347,84.63211066,0.0,18.0,25.35001036,0
348,210.17306467,2.0,23.0,34.054811237,0
349,201.33448747,4.0,29.0,29.661710162,0
350,293.95872355,,11.0,30.197630728,0
351,80.5,2.0,17.0,,1
352,,,,25.375544161,0
353,164.8,1.0,28.0,,1
354,162.94515692,0.0,23.0,40.315396587,0
355,182.8787798,0.0,31.0,37.19944569,0
356,63.117023228,,16.0,36.538747338,0
357,,,,27.167655962,0
358,,,,12.324707091,0
359,212.53764322,0.0,19.0,20.616783656,0
360,324.68682941,0.0,47.0,28.285532103,0
361,101.16706032,,13.0,38.675140153,0
362,124.74559549,1.0,12.0,35.642270107,0
363,130.06666667,0.0,20.0,,0
364,41.250113587,0.0,3.0,39.198068218,0
365,63.626413251,,16.0,33.111829109,0
366,294.47804756,,12.0,31.447750409,0
367,335.07414261,1.0,46.0,31.177261304,0
368,120.73333333,0.0,8.0,,1
369,84.0,1.0,12.0,,1
370,209.35804693,4.0,30.0,29.595955514,0
371,199.01192718,0.0,27.0,26.520049519,0
372,153.78043854,1.0,30.0,21.719595981,0
373,111.20651324,1.0,10.0,38.577131937,0
374,,,,29.835960721,0
375,227.12990511,0.0,23.0,23.31951678,1
376,163.28393319,1.0,22.0,42.407814245,0
377,12.759267447,10.0,6.0,28.36185178,0
378,128.0,4.0,17.0,,1
379,419.3751538,1.0,50.0,42.244927573,0
380,,,,22.055034214,0
381,104.79246836,,13.0,36.416886965,0
382,164.31540986,1.0,30.0,21.137981572,0
383,262.17542613,0.0,11.0,42.068268179,0
384,325.29930871,0.0,12.0,40.244404369,0
385,213.8321032,0.0,24.0,40.64461955,0
386,133.10154783,0.0,20.0,40.188123128,0
387,109.19302137,0.0,26.0,37.964554318,0
388,147.07716353,0.0,31.0,31.206129763,0
389,177.59135402,,19.0,26.1209597,0
390,209.64289843,2.0,30.0,31.971971208,0
391,101.39144532,,12.0,36.602947343,0
392,202.25079583,0.0,11.0,45.114319388,0
393,10.42564285,10.0,6.0,29.753700283,0
394,126.32864372,0.0,22.0,28.756345434,0
395,180.84124987,,19.0,27.839006664,0
396,333.23089989,,11.0,29.011980578,0
397,127.06270157,2.0,21.0,37.800352933,1
398,,,,30.531264536,0
399,129.0777116,0.0,23.0,29.055433128,0
400,191.0756559,0.0,13.0,24.227319339,0
401,,,,29.198860669,0
402,209.32631158,4.0,29.0,30.343448604,0
403,115.36666667,1.0,16.0,,1
404,97.299756098,6.0,38.0,,1
405,224.86666667,0.0,13.0,,1
406,110.56666667,2.0,30.0,,0
407,332.73333333,2.0,38.0,,0
408,234.4,1.0,17.0,,0
409,54.766666667,2.0,24.0,,0
410,242.46666667,1.0,38.0,,0
411,475.8,2.0,40.0,,1
412,327.20063852,1.0,38.0,34.345837692,0
413,,,,23.47088075,0
414,86.452226941,6.0,29.0,69.8005248,1
415,94.00805286,2.0,18.0,34.898413066,0
416,232.52729073,0.0,16.0,26.160494887,0
417,,,,20.028353505,0
418,,0.0,0.0,12.219436152,0
419,96.977667199,0.0,14.0,42.211046784,0
420,179.80086812,,19.0,27.532376107,0
421,122.81558408,0.0,12.0,36.773458722,0
422,,0.0,0.0,14.845990728,0
423,423.20962409,2.0,49.0,40.957090317,0
424,,,,15.703991562,0
425,84.417030462,0.0,17.0,23.642853829,0
426,195.78086332,0.0,19.0,32.397593406,1
427,283.89723134,0.0,14.0,24.120451557,0
428,99.303700784,0.0,17.0,25.231366381,0
429,173.5744163,1.0,31.0,23.587013228,0
430,171.52648922,3.0,27.0,41.428597508,1
431,,,,40.894931701,1
432,263.17343429,0.0,5.0,37.70699649,0
433,193.75474567,0.0,19.0,19.549571698,0
434,108.35174747,,13.0,38.894194746,0
435,112.13708066,1.0,30.0,38.52863281,0
436,43.923382631,1.0,24.0,39.738576265,0
437,174.72183413,1.0,8.0,62.246451123,1
438,209.20630035,0.0,20.0,20.203517707,0
439,215.42240638,0.0,19.0,19.493871984,0
440,219.7356734,1.0,18.0,20.885093499,0
441,208.42084303,0.0,19.0,19.33336736,0
442,116.6327333,3.0,10.0,39.215028911,0
443,,,,18.927211638,0
444,201.96083432,0.0,18.0,22.325828788,0
445,126.30323511,0.0,22.0,27.118653527,0
446,341.46505556,0.0,46.0,27.523246143,0
447,106.26666667,2.0,26.0,,1
448,94.333333333,3.0,12.0,,0
449,206.30632134,0.0,20.0,21.798513082,0
450,2.0333333333,1.0,5.0,,1
451,127.23414105,0.0,22.0,42.083901678,0
452,48.818836477,0.0,3.0,40.787393229,0
453,196.46499893,0.0,31.0,35.761604731,0
454,298.70048215,0.0,23.0,39.107501643,0
455,230.80558812,1.0,38.0,17.965883444,0
456,112.58906066,0.0,15.0,41.428089899,0
457,87.900118337,0.0,17.0,22.286997477,0
458,101.5319079,0.0,21.0,35.764058362,1
459,67.8,1.0,18.0,,1
460,138.23477796,0.0,22.0,38.372460882,1
461,122.26666667,2.0,43.0,,1
462,111.12339734,0.0,11.0,37.253150854,0
463,61.9,8.0,22.0,,0
464,,,,14.370985949,0
465,105.82732904,2.0,10.0,40.717668846,0
466,204.48458275,0.0,19.0,21.855494126,0
467,224.2470369,3.0,29.0,30.526150723,0
468,311.86989931,,12.0,30.790620774,0
469,421.541928,1.0,49.0,40.828872934,0
470,231.79991346,0.0,38.0,19.273579455,0
471,175.57144277,0.0,32.0,34.449664673,0
472,102.6573271,,9.0,36.094071425,0
473,171.83838617,0.0,31.0,36.247963031,0
474,213.36302767,2.0,24.0,34.475301929,0
475,341.61057605,1.0,47.0,27.767299768,0
476,211.28441317,1.0,24.0,33.461402248,0
477,197.33839792,0.0,24.0,39.843087337,0
478,90.380409083,3.0,11.0,36.30952679,0
479,87.833333333,4.0,21.0,,1
480,134.7,1.0,16.0,,1
481,,,,,1
482,183.1,0.0,23.0,,1
483,242.43333333,0.0,8.0,,1
484,138.23333333,0.0,9.0,,1
485,219.16666667,1.0,20.0,,0
486,103.66666667,0.0,7.0,,0
487,265.06666667,0.0,12.0,,0
488,234.4,1.0,32.0,,0
489,,,,,0
490,229.3,1.0,36.0,,0
491,84.733333333,3.0,20.0,,0
492,219.13333333,0.0,37.0,,0
493,183.63333333,2.0,28.0,,1
494,141.0,0.0,10.0,,1
495,86.2,2.0,36.0,,1
496,96.366666667,0.0,18.0,,1
497,139.0,0.0,13.0,,1
498,205.96666667,1.0,19.0,,1
499,340.9,0.0,29.0,,1
500,54.833333333,0.0,8.0,,1
501,80.152430908,2.0,19.0,40.561860543,0
502,,,,40.730315337,1
503,209.98629953,0.0,18.0,21.917952264,0
504,200.07775507,1.0,24.0,31.736511786,0
505,315.32145267,0.0,12.0,38.693655802,0
506,192.76666667,2.0,31.0,,1
507,71.0,4.0,18.0,,1
508,48.854644654,0.0,4.0,41.302546904,0
509,116.10008714,0.0,11.0,35.601894251,0
510,155.2,1.0,12.0,,0
511,272.9226847,1.0,25.0,41.916899529,0
512,29.856365166,9.0,7.0,28.271474159,0
513,221.60732419,0.0,18.0,32.674358967,0
514,120.03346455,0.0,20.0,43.678746661,0
515,65.872044812,7.0,21.0,26.829490191,0
516,108.21718977,0.0,7.0,36.337557557,0
517,84.837249966,0.0,17.0,22.861199646,0
518,98.433333333,11.0,9.0,,1
519,55.35880309,1.0,23.0,38.640277109,0
520,241.51424984,0.0,35.0,35.062675655,0
521,118.00014232,0.0,11.0,37.72035861,0
522,238.45882498,0.0,37.0,18.617288691,0
523,82.166666667,0.0,12.0,,0
524,142.0,1.0,14.0,,1
525,235.36666667,6.0,16.0,,1
526,299.75272612,,12.0,31.880033183,0
527,354.23976343,3.0,42.0,33.624133446,1
528,40.182134821,0.0,3.0,37.941253769,0
529,241.05607809,1.0,38.0,18.510551331,0
530,70.193890188,0.0,11.0,41.250706258,1
531,,,,20.099049784,0
532,38.003266851,9.0,7.0,28.295681117,0
533,74.066666667,1.0,16.0,,1
534,45.966666667,0.0,13.0,,1
535,,,,,1
536,,,,,1
537,68.033333333,2.0,23.0,,0
538,240.05677145,2.0,23.0,31.724698502,0
539,239.62029765,1.0,36.0,36.727136357,0
540,411.95205053,1.0,50.0,40.39647435,0
541,106.37599933,1.0,10.0,40.051915231,0
542,60.424760757,2.0,22.0,36.812290634,0
543,221.3384208,1.0,31.0,36.009421486,0
544,,,,27.201999612,0
545,96.133333333,0.0,14.0,,1
546,271.91816905,0.0,25.0,42.930043097,0
547,224.84704249,0.0,19.0,21.057574023,0
548,194.37214004,1.0,27.0,26.646083641,0
549,,,,28.161831853,0
550,207.76841442,4.0,30.0,29.937917829,0
551,238.58630343,1.0,38.0,18.421369855,0
552,,0.0,0.0,12.219679961,0
553,83.34671188,0.0,18.0,23.397634628,0
554,141.96214925,0.0,23.0,28.300245637,0
555,94.782230694,0.0,17.0,42.803421995,1
556,230.42025592,1.0,35.0,35.415112916,0
557,128.83333333,0.0,26.0,,0
558,316.94708254,1.0,24.0,37.908750185,0
559,158.26666667,2.0,18.0,,1
560,65.57119786,,16.0,33.865745347,0
561,86.233333333,3.0,14.0,,1
562,220.62498387,0.0,37.0,26.711536473,0
563,111.43518985,0.0,14.0,41.773446616,0
564,228.03600011,0.0,6.0,30.162214113,1
565,79.411229994,,16.0,34.397441727,0
566,,,,12.391235037,0
567,155.39196223,1.0,23.0,41.600983364,0
568,47.832851338,3.0,14.0,33.075010372,0
569,56.750113136,2.0,14.0,30.538906969,0
570,286.9228238,0.0,11.0,23.06292573,0
571,295.86666667,0.0,19.0,,1
572,158.9,1.0,21.0,,1
573,122.06666667,0.0,23.0,,1
574,147.1,0.0,9.0,,1
575,136.1,0.0,8.0,,1
576,146.93333333,0.0,18.0,,1
577,124.13333333,1.0,18.0,,1
578,,1.0,0.0,,1
579,201.5,0.0,24.0,,1
580,153.26666667,2.0,16.0,,1
581,75.666666667,1.0,13.0,,1
582,115.6,1.0,26.0,,0
583,185.63333333,1.0,16.0,,0
584,178.33466667,0.0,29.0,,0
585,177.5,0.0,22.0,,1
586,47.7,1.0,15.0,,1
587,344.9,1.0,30.0,,1
588,126.76666667,2.0,23.0,,1
589,157.32842275,0.0,20.0,,1
590,234.90075082,0.0,24.0,24.662276673,1
591,227.29208976,0.0,17.0,24.091770363,0
592,60.503625209,2.0,24.0,39.280512379,0
593,243.15711917,1.0,16.0,23.992353351,0
594,299.56666667,2.0,18.0,,1
595,87.452870081,2.0,23.0,37.005967843,0
596,,,,22.655140286,0
597,92.941357816,2.0,12.0,35.672273609,0
598,249.63376067,2.0,36.0,34.882066439,0
599,180.16893732,0.0,16.0,35.583403169,0
600,64.660106948,,16.0,35.051896774,0
601,135.64019635,0.0,26.0,34.777089425,0
602,265.02047536,1.0,25.0,43.300105312,0
603,,,,34.880462318,0
604,180.41578673,0.0,13.0,21.72081838,0
605,187.19401123,0.0,28.0,24.217658483,0
606,120.7645092,1.0,11.0,38.132345766,0
607,206.96666667,1.0,23.0,,0
608,,,,,0
609,141.26867109,0.0,31.0,31.68194302,0
610,17.460749903,10.0,6.0,30.233504742,0
611,122.06666667,0.0,22.0,,1
612,353.19562851,0.0,47.0,28.544528867,0
613,56.609906288,0.0,3.0,40.499820445,0
614,179.24093557,0.0,28.0,27.23109397,0
615,95.366666667,0.0,23.0,,0
616,44.629591574,2.0,7.0,21.271785371,1
617,106.63134156,2.0,18.0,37.02476444,0
618,193.0814529,,18.0,26.495879292,0
619,114.51215796,3.0,18.0,37.929273869,0
620,235.4853772,0.0,35.0,34.423248847,0
621,100.42833098,0.0,14.0,42.807341953,0
622,105.08759384,0.0,22.0,36.70541274,0
623,274.96666667,3.0,29.0,,0
624,123.03333333,0.0,34.0,,0
625,231.0011955,0.0,32.0,35.906115846,0
626,262.01435765,2.0,29.0,38.983938486,0
627,295.11342067,0.0,13.0,23.245673006,0
628,174.46666667,0.0,19.0,,0
629,220.80244426,2.0,24.0,31.827626823,0
630,95.676872691,0.0,23.0,36.97971203,1
631,110.07185689,1.0,25.0,25.409016713,0
632,185.62159231,0.0,22.0,32.285724089,0
633,,,,,1
634,87.603462439,0.0,11.0,31.850563903,0
635,192.1211081,0.0,15.0,35.586051528,0
636,59.081541425,0.0,4.0,41.077878217,0
637,55.873860215,0.0,4.0,38.375091295,0
638,116.30949336,0.0,25.0,35.429796579,0
639,184.39002923,0.0,15.0,37.836714873,0
640,95.366666667,0.0,20.0,,0
641,80.778941503,10.0,8.0,44.858977324,1
642,285.11101511,,12.0,29.413549764,0
643,332.64504738,1.0,37.0,35.311552628,0
644,,,,23.345021675,0
645,203.54460997,1.0,22.0,31.491686795,0
646,132.56666667,0.0,17.0,,0
647,258.19457767,3.0,29.0,41.246612634,0
648,84.691134882,,16.0,36.503160752,0
649,203.9971364,0.0,17.0,23.562565007,0
650,52.59326412,2.0,13.0,32.160922592,0
651,119.06692204,0.0,31.0,33.361586301,0
652,138.51160087,0.0,22.0,39.735448824,0
653,,,,27.336157387,0
654,129.3624659,0.0,15.0,47.000975215,1
655,103.4,1.0,20.0,,1
656,53.666666667,2.0,18.0,,1
657,139.86666667,0.0,9.0,,1
658,221.43333333,1.0,20.0,,1
659,,0.0,0.0,,1
660,103.73333333,0.0,13.0,,1
661,82.633333333,0.0,20.0,,1
662,92.3,3.0,34.0,,0
663,89.266666667,0.0,9.0,,0
664,107.5,0.0,23.0,,0
665,75.366666667,1.0,10.0,,0
666,,0.0,4.0,,0
667,229.3,1.0,18.0,,0
668,,,,,0
669,208.0,0.0,16.0,,0
670,189.7,1.0,22.0,,0
671,73.033333333,2.0,24.0,,0
672,140.06666667,4.0,16.0,,0
673,107.53333333,1.0,19.0,,0
674,179.63333333,0.0,30.0,,1
675,102.43333333,6.0,15.0,,1
676,132.9,1.0,26.0,,1
677,33.433333333,9.0,3.0,,1
678,145.16666667,1.0,20.0,,1
679,168.23333333,3.0,30.0,,1
680,79.458845053,2.0,8.0,31.276715679,1
681,99.993789825,3.0,12.0,38.873711304,0
682,151.81738872,0.0,19.0,26.457524449,1
683,330.17485564,1.0,37.0,35.362686394,0
684,130.76703495,0.0,22.0,29.381985445,0
685,,0.0,4.0,29.638901419,0
