,İLAN ADI,SEMT,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI
283,FERAHEVLER SİTESİNDE GÜNEY DOĞU CPH. ŞEHİR MANZARALI FULL YAPILI,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.790.000,130,135,3+1,3,3+1,1,19
284,ZİRVEDEN BATI PROJESİ LÜKS YAPILI 5+1 SATILIK DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",3.800.000,175,200,5+1,5,5+1,2,35
285,CANDAN EMLAK'TAN 1.KAT ÖN CEPHE 3+1 TERAS BALKONLU CADDE ÜZERİ,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.250.000,120,135,3+1,3,3+1,2,31
286,GAZİOSMANPAŞA PYLON REZİDANS DA PENTHOUSE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",9.000.000,447,520,6+1,6,6+1,3,36
287,"NATURA ALACAATLI, 2+1 BAHÇE KULLANIMLI, DEPOLU SATILIK DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",3.900.000,106,110,2+1,2,2+1,2,15
288,YILDIRIM EMLAK'TAN ISTIKLALDE 3+1 LUX ORTA KAT SIFIR DAIRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.550.000,148,160,3+1,3,3+1,2,21
289,KEÇİÖRENDE  FULL YAPILI KREDİ SORUNU OLMAYAN  MASRAFSIZ SATILIK,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.650.000,135,145,3+1,3,3+1,2,22
290,''UZMANLAR G.Y.D.''30 AĞUSTOS MAH.DE MERKEZİ KONUMDA SATILIK 2+1,"Çiğdemtepe Yenimahalle
                                                 Ankara",850.000,95,100,2+1,2,2+1,1,32
291,YILMAZER GAYRİMENKUL'DEN CADDE ÜZERİ KATTA SATILIK DAİRE!!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000,125,135,3+1,3,3+1,2,8
292,SATILIK DAİRE FİYATINA 1500 m² ARSAYA SAHİP 240 m² VİLLA,"Çiğdemtepe Yenimahalle
                                                 Ankara",4.500.000,240,270,5+1,5,5+1,2,24
293,"EGEMENDEN ARA KATTA FULL+FULL YAPILI CADDE YAKINI 3,5+1 DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",1.799.000,140,165,3+1,3,3+1,2,25
294,SİNCAN DÜNYAGÖZ HASTANESİ YAKINI SATILIK 3+1 ÖN CEPHE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",689.000,105,110,3+1,3,3+1,1,25
295,SİTE'DE ARA KATTA (3+1)-EBEVEYN BANYO+KİLER+3 BALKON.!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.049.000,135,145,3+1,3,3+1,2,16
296,SİNCAN MAREŞAL ÇAKMAK MAH.'DE ÖN CEPHE SATILIK 2+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",619.000,88,98,2+1,2,2+1,1,17
297,SİNCAN AKŞEMSETTİN MAH.'DE ÖN CEPHE SATILIK 2+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",649.000,85,95,2+1,2,2+1,1,16
298,SİNCAN ATATÜRK MAH.'DE ÖN CEPHE SATILIK 3+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",675.000,100,105,3+1,3,3+1,1,14
299,Etimesgut Yapracık Toki Y Tipi 3+1 Satılık Daire,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000,115,137,3+1,3,3+1,1,34
300,SİNCAN PLEVNE MAH.'DE 2+1 SALON BAĞIMSIZ SATILIK YÜKSEK GİRİŞ,"Çiğdemtepe Yenimahalle
                                                 Ankara",600.000,85,90,2+1,2,2+1,1,10
301,SİTE İÇERİSİNDE ÇİFT BANYO ÇİFT BALKON KİLERLİ SATILIK DAİRE..,"Çiğdemtepe Yenimahalle
                                                 Ankara",988.000,135,145,3+1,3,3+1,2,19
302,Eryaman Göksu Park Konutları GB 4.KAT,"Çiğdemtepe Yenimahalle
                                                 Ankara",3.280.000,155,180,4+1,4,4+1,2,36
303,MUTLU MH. 2. KATTA 3+1 SATILIK DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.450.000,110,125,3+1,3,3+1,1,27
304,FERAHEVLER SİTESİNDE GÜNEY DOĞU CPH. ŞEHİR MANZARALI FULL YAPILI,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.790.000,130,135,3+1,3,3+1,1,19
305,ZİRVEDEN BATI PROJESİ LÜKS YAPILI 5+1 SATILIK DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",3.800.000,175,200,5+1,5,5+1,2,35
306,CANDAN EMLAK'TAN 1.KAT ÖN CEPHE 3+1 TERAS BALKONLU CADDE ÜZERİ,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.250.000,120,135,3+1,3,3+1,2,31
307,GAZİOSMANPAŞA PYLON REZİDANS DA PENTHOUSE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",9.000.000,447,520,6+1,6,6+1,3,36
308,"NATURA ALACAATLI, 2+1 BAHÇE KULLANIMLI, DEPOLU SATILIK DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",3.900.000,106,110,2+1,2,2+1,2,15
309,YILDIRIM EMLAK'TAN ISTIKLALDE 3+1 LUX ORTA KAT SIFIR DAIRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.550.000,148,160,3+1,3,3+1,2,21
310,KEÇİÖRENDE  FULL YAPILI KREDİ SORUNU OLMAYAN  MASRAFSIZ SATILIK,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.650.000,135,145,3+1,3,3+1,2,22
311,''UZMANLAR G.Y.D.''30 AĞUSTOS MAH.DE MERKEZİ KONUMDA SATILIK 2+1,"Çiğdemtepe Yenimahalle
                                                 Ankara",850.000,95,100,2+1,2,2+1,1,32
312,YILMAZER GAYRİMENKUL'DEN CADDE ÜZERİ KATTA SATILIK DAİRE!!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000,125,135,3+1,3,3+1,2,8
313,SATILIK DAİRE FİYATINA 1500 m² ARSAYA SAHİP 240 m² VİLLA,"Çiğdemtepe Yenimahalle
                                                 Ankara",4.500.000,240,270,5+1,5,5+1,2,24
314,"EGEMENDEN ARA KATTA FULL+FULL YAPILI CADDE YAKINI 3,5+1 DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",1.799.000,140,165,3+1,3,3+1,2,25
315,SİNCAN DÜNYAGÖZ HASTANESİ YAKINI SATILIK 3+1 ÖN CEPHE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",689.000,105,110,3+1,3,3+1,1,25
316,SİTE'DE ARA KATTA (3+1)-EBEVEYN BANYO+KİLER+3 BALKON.!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.049.000,135,145,3+1,3,3+1,2,16
317,SİNCAN MAREŞAL ÇAKMAK MAH.'DE ÖN CEPHE SATILIK 2+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",619.000,88,98,2+1,2,2+1,1,17
318,SİNCAN AKŞEMSETTİN MAH.'DE ÖN CEPHE SATILIK 2+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",649.000,85,95,2+1,2,2+1,1,16
319,SİNCAN ATATÜRK MAH.'DE ÖN CEPHE SATILIK 3+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",675.000,100,105,3+1,3,3+1,1,14
320,Etimesgut Yapracık Toki Y Tipi 3+1 Satılık Daire,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000,115,137,3+1,3,3+1,1,34
321,SİNCAN PLEVNE MAH.'DE 2+1 SALON BAĞIMSIZ SATILIK YÜKSEK GİRİŞ,"Çiğdemtepe Yenimahalle
                                                 Ankara",600.000,85,90,2+1,2,2+1,1,10
322,SİTE İÇERİSİNDE ÇİFT BANYO ÇİFT BALKON KİLERLİ SATILIK DAİRE..,"Çiğdemtepe Yenimahalle
                                                 Ankara",988.000,135,145,3+1,3,3+1,2,19
323,Eryaman Göksu Park Konutları GB 4.KAT,"Çiğdemtepe Yenimahalle
                                                 Ankara",3.280.000,155,180,4+1,4,4+1,2,36
324,MUTLU MH. 2. KATTA 3+1 SATILIK DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.450.000,110,125,3+1,3,3+1,1,27
325,FERAHEVLER SİTESİNDE GÜNEY DOĞU CPH. ŞEHİR MANZARALI FULL YAPILI,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.790.000,130,135,3+1,3,3+1,1,19
326,ZİRVEDEN BATI PROJESİ LÜKS YAPILI 5+1 SATILIK DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",3.800.000,175,200,5+1,5,5+1,2,35
327,CANDAN EMLAK'TAN 1.KAT ÖN CEPHE 3+1 TERAS BALKONLU CADDE ÜZERİ,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.250.000,120,135,3+1,3,3+1,2,31
328,GAZİOSMANPAŞA PYLON REZİDANS DA PENTHOUSE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",9.000.000,447,520,6+1,6,6+1,3,36
329,"NATURA ALACAATLI, 2+1 BAHÇE KULLANIMLI, DEPOLU SATILIK DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",3.900.000,106,110,2+1,2,2+1,2,15
330,YILDIRIM EMLAK'TAN ISTIKLALDE 3+1 LUX ORTA KAT SIFIR DAIRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.550.000,148,160,3+1,3,3+1,2,21
331,KEÇİÖRENDE  FULL YAPILI KREDİ SORUNU OLMAYAN  MASRAFSIZ SATILIK,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.650.000,135,145,3+1,3,3+1,2,22
332,''UZMANLAR G.Y.D.''30 AĞUSTOS MAH.DE MERKEZİ KONUMDA SATILIK 2+1,"Çiğdemtepe Yenimahalle
                                                 Ankara",850.000,95,100,2+1,2,2+1,1,32
333,YILMAZER GAYRİMENKUL'DEN CADDE ÜZERİ KATTA SATILIK DAİRE!!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000,125,135,3+1,3,3+1,2,8
334,SATILIK DAİRE FİYATINA 1500 m² ARSAYA SAHİP 240 m² VİLLA,"Çiğdemtepe Yenimahalle
                                                 Ankara",4.500.000,240,270,5+1,5,5+1,2,24
335,"EGEMENDEN ARA KATTA FULL+FULL YAPILI CADDE YAKINI 3,5+1 DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",1.799.000,140,165,3+1,3,3+1,2,25
336,SİNCAN DÜNYAGÖZ HASTANESİ YAKINI SATILIK 3+1 ÖN CEPHE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",689.000,105,110,3+1,3,3+1,1,25
337,SİTE'DE ARA KATTA (3+1)-EBEVEYN BANYO+KİLER+3 BALKON.!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.049.000,135,145,3+1,3,3+1,2,16
338,SİNCAN MAREŞAL ÇAKMAK MAH.'DE ÖN CEPHE SATILIK 2+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",619.000,88,98,2+1,2,2+1,1,17
339,SİNCAN AKŞEMSETTİN MAH.'DE ÖN CEPHE SATILIK 2+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",649.000,85,95,2+1,2,2+1,1,16
340,SİNCAN ATATÜRK MAH.'DE ÖN CEPHE SATILIK 3+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",675.000,100,105,3+1,3,3+1,1,14
341,Etimesgut Yapracık Toki Y Tipi 3+1 Satılık Daire,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000,115,137,3+1,3,3+1,1,34
342,SİNCAN PLEVNE MAH.'DE 2+1 SALON BAĞIMSIZ SATILIK YÜKSEK GİRİŞ,"Çiğdemtepe Yenimahalle
                                                 Ankara",600.000,85,90,2+1,2,2+1,1,10
343,SİTE İÇERİSİNDE ÇİFT BANYO ÇİFT BALKON KİLERLİ SATILIK DAİRE..,"Çiğdemtepe Yenimahalle
                                                 Ankara",988.000,135,145,3+1,3,3+1,2,19
344,Eryaman Göksu Park Konutları GB 4.KAT,"Çiğdemtepe Yenimahalle
                                                 Ankara",3.280.000,155,180,4+1,4,4+1,2,36
345,MUTLU MH. 2. KATTA 3+1 SATILIK DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.450.000,110,125,3+1,3,3+1,1,27
346,FERAHEVLER SİTESİNDE GÜNEY DOĞU CPH. ŞEHİR MANZARALI FULL YAPILI,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.790.000,130,135,3+1,3,3+1,1,19
347,ZİRVEDEN BATI PROJESİ LÜKS YAPILI 5+1 SATILIK DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",3.800.000,175,200,5+1,5,5+1,2,35
348,CANDAN EMLAK'TAN 1.KAT ÖN CEPHE 3+1 TERAS BALKONLU CADDE ÜZERİ,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.250.000,120,135,3+1,3,3+1,2,31
349,GAZİOSMANPAŞA PYLON REZİDANS DA PENTHOUSE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",9.000.000,447,520,6+1,6,6+1,3,36
350,"NATURA ALACAATLI, 2+1 BAHÇE KULLANIMLI, DEPOLU SATILIK DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",3.900.000,106,110,2+1,2,2+1,2,15
351,YILDIRIM EMLAK'TAN ISTIKLALDE 3+1 LUX ORTA KAT SIFIR DAIRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.550.000,148,160,3+1,3,3+1,2,21
352,KEÇİÖRENDE  FULL YAPILI KREDİ SORUNU OLMAYAN  MASRAFSIZ SATILIK,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.650.000,135,145,3+1,3,3+1,2,22
353,''UZMANLAR G.Y.D.''30 AĞUSTOS MAH.DE MERKEZİ KONUMDA SATILIK 2+1,"Çiğdemtepe Yenimahalle
                                                 Ankara",850.000,95,100,2+1,2,2+1,1,32
354,YILMAZER GAYRİMENKUL'DEN CADDE ÜZERİ KATTA SATILIK DAİRE!!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000,125,135,3+1,3,3+1,2,8
355,SATILIK DAİRE FİYATINA 1500 m² ARSAYA SAHİP 240 m² VİLLA,"Çiğdemtepe Yenimahalle
                                                 Ankara",4.500.000,240,270,5+1,5,5+1,2,24
356,"EGEMENDEN ARA KATTA FULL+FULL YAPILI CADDE YAKINI 3,5+1 DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",1.799.000,140,165,3+1,3,3+1,2,25
357,"110 square meters 3+1 bedrooms Apartment For Sale in Sincan, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",689.000 TRY,105,110,3+1,3,3+1,1,25
358,"145 square meters 3+1 bedrooms Apartment For Sale in Keçiören, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",1.049.000 TRY,135,145,3+1,3,3+1,2,16
359,"98 square meters 2+1 bedrooms Apartment For Sale in Sincan, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",619.000 TRY,88,98,2+1,2,2+1,1,17
360,"95 square meters 2+1 bedrooms Apartment For Sale in Sincan, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",649.000 TRY,85,95,2+1,2,2+1,1,16
361,"105 square meters 3+1 bedrooms Apartment For Sale in Sincan, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",675.000 TRY,100,105,3+1,3,3+1,1,14
362,"137 square meters 3+1 bedrooms Apartment For Sale in Etimesgut, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000 TRY,115,137,3+1,3,3+1,1,34
363,"90 square meters 2+1 bedrooms Apartment For Sale in Sincan, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",600.000 TRY,85,90,2+1,2,2+1,1,10
364,"145 square meters 3+1 bedrooms Apartment For Sale in Keçiören, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",988.000 TRY,135,145,3+1,3,3+1,2,19
365,"180 square meters 4+1 bedrooms Apartment For Sale in Etimesgut, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",3.280.000 TRY,155,180,4+1,4,4+1,2,36
366,"125 square meters 3+1 bedrooms Apartment For Sale in Mamak, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",1.450.000 TRY,110,125,3+1,3,3+1,1,27
367,"135 square meters 3+1 bedrooms Apartment For Sale in Keçiören, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",1.790.000 TRY,130,135,3+1,3,3+1,1,19
368,"200 square meters 5+1 bedrooms Apartment For Sale in Yenimahalle, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",3.800.000 TRY,175,200,5+1,5,5+1,2,35
369,"135 square meters 3+1 bedrooms Apartment For Sale in Altındağ, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",1.250.000 TRY,120,135,3+1,3,3+1,2,31
370,"520 square meters 6+1 bedrooms Luxury Homes For Sale in Çankaya, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",9.000.000 TRY,447,520,6+1,6,6+1,3,36
371,"110 square meters 2+1 bedrooms Apartment For Sale in Çankaya, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",3.900.000 TRY,106,110,2+1,2,2+1,2,15
372,"160 square meters 3+1 bedrooms Apartment For Sale in Polatlı, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",1.550.000 TRY,148,160,3+1,3,3+1,2,21
373,"145 square meters 3+1 bedrooms Apartment For Sale in Keçiören, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",1.650.000 TRY,135,145,3+1,3,3+1,2,22
374,100 square meters 2+1 bedrooms Apartment For Sale in Etimesgu...,"Çiğdemtepe Yenimahalle
                                                 Ankara",850.000 TRY,95,100,2+1,2,2+1,1,32
375,"135 square meters 3+1 bedrooms Apartment For Sale in Altındağ, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000 TRY,125,135,3+1,3,3+1,2,8
376,"270 square meters 5+1 bedrooms Villa For Sale in Gölbaşı, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",4.500.000 TRY,240,270,5+1,5,5+1,2,24
377,"165 square meters 3+1 bedrooms Apartment For Sale in Yenimahalle, Ankara, Turkey","Çiğdemtepe Yenimahalle
                                                 Ankara",1.799.000 TRY,140,165,3+1,3,3+1,2,25
378,SİNCAN DÜNYAGÖZ HASTANESİ YAKINI SATILIK 3+1 ÖN CEPHE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",689.000,105,110,3+1,3,3+1,1,25
379,SİTE'DE ARA KATTA (3+1)-EBEVEYN BANYO+KİLER+3 BALKON.!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.049.000,135,145,3+1,3,3+1,2,16
380,SİNCAN MAREŞAL ÇAKMAK MAH.'DE ÖN CEPHE SATILIK 2+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",619.000,88,98,2+1,2,2+1,1,17
381,SİNCAN AKŞEMSETTİN MAH.'DE ÖN CEPHE SATILIK 2+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",649.000,85,95,2+1,2,2+1,1,16
382,SİNCAN ATATÜRK MAH.'DE ÖN CEPHE SATILIK 3+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",675.000,100,105,3+1,3,3+1,1,14
383,Etimesgut Yapracık Toki Y Tipi 3+1 Satılık Daire,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000,115,137,3+1,3,3+1,1,34
384,SİNCAN PLEVNE MAH.'DE 2+1 SALON BAĞIMSIZ SATILIK YÜKSEK GİRİŞ,"Çiğdemtepe Yenimahalle
                                                 Ankara",600.000,85,90,2+1,2,2+1,1,10
385,SİTE İÇERİSİNDE ÇİFT BANYO ÇİFT BALKON KİLERLİ SATILIK DAİRE..,"Çiğdemtepe Yenimahalle
                                                 Ankara",988.000,135,145,3+1,3,3+1,2,19
386,Eryaman Göksu Park Konutları GB 4.KAT,"Çiğdemtepe Yenimahalle
                                                 Ankara",3.280.000,155,180,4+1,4,4+1,2,36
387,MUTLU MH. 2. KATTA 3+1 SATILIK DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.450.000,110,125,3+1,3,3+1,1,27
388,FERAHEVLER SİTESİNDE GÜNEY DOĞU CPH. ŞEHİR MANZARALI FULL YAPILI,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.790.000,130,135,3+1,3,3+1,1,19
389,ZİRVEDEN BATI PROJESİ LÜKS YAPILI 5+1 SATILIK DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",3.800.000,175,200,5+1,5,5+1,2,35
390,CANDAN EMLAK'TAN 1.KAT ÖN CEPHE 3+1 TERAS BALKONLU CADDE ÜZERİ,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.250.000,120,135,3+1,3,3+1,2,31
391,GAZİOSMANPAŞA PYLON REZİDANS DA PENTHOUSE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",9.000.000,447,520,6+1,6,6+1,3,36
392,"NATURA ALACAATLI, 2+1 BAHÇE KULLANIMLI, DEPOLU SATILIK DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",3.900.000,106,110,2+1,2,2+1,2,15
393,YILDIRIM EMLAK'TAN ISTIKLALDE 3+1 LUX ORTA KAT SIFIR DAIRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.550.000,148,160,3+1,3,3+1,2,21
394,KEÇİÖRENDE  FULL YAPILI KREDİ SORUNU OLMAYAN  MASRAFSIZ SATILIK,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.650.000,135,145,3+1,3,3+1,2,22
395,''UZMANLAR G.Y.D.''30 AĞUSTOS MAH.DE MERKEZİ KONUMDA SATILIK 2+1,"Çiğdemtepe Yenimahalle
                                                 Ankara",850.000,95,100,2+1,2,2+1,1,32
396,YILMAZER GAYRİMENKUL'DEN CADDE ÜZERİ KATTA SATILIK DAİRE!!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000,125,135,3+1,3,3+1,2,8
397,SATILIK DAİRE FİYATINA 1500 m² ARSAYA SAHİP 240 m² VİLLA,"Çiğdemtepe Yenimahalle
                                                 Ankara",4.500.000,240,270,5+1,5,5+1,2,24
398,"EGEMENDEN ARA KATTA FULL+FULL YAPILI CADDE YAKINI 3,5+1 DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",1.799.000,140,165,3+1,3,3+1,2,25
399,SİNCAN DÜNYAGÖZ HASTANESİ YAKINI SATILIK 3+1 ÖN CEPHE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",689.000,105,110,3+1,3,3+1,1,25
400,SİTE'DE ARA KATTA (3+1)-EBEVEYN BANYO+KİLER+3 BALKON.!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.049.000,135,145,3+1,3,3+1,2,16
401,SİNCAN MAREŞAL ÇAKMAK MAH.'DE ÖN CEPHE SATILIK 2+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",619.000,88,98,2+1,2,2+1,1,17
402,SİNCAN AKŞEMSETTİN MAH.'DE ÖN CEPHE SATILIK 2+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",649.000,85,95,2+1,2,2+1,1,16
403,SİNCAN ATATÜRK MAH.'DE ÖN CEPHE SATILIK 3+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",675.000,100,105,3+1,3,3+1,1,14
404,Etimesgut Yapracık Toki Y Tipi 3+1 Satılık Daire,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000,115,137,3+1,3,3+1,1,34
405,SİNCAN PLEVNE MAH.'DE 2+1 SALON BAĞIMSIZ SATILIK YÜKSEK GİRİŞ,"Çiğdemtepe Yenimahalle
                                                 Ankara",600.000,85,90,2+1,2,2+1,1,10
406,SİTE İÇERİSİNDE ÇİFT BANYO ÇİFT BALKON KİLERLİ SATILIK DAİRE..,"Çiğdemtepe Yenimahalle
                                                 Ankara",988.000,135,145,3+1,3,3+1,2,19
407,Eryaman Göksu Park Konutları GB 4.KAT,"Çiğdemtepe Yenimahalle
                                                 Ankara",3.280.000,155,180,4+1,4,4+1,2,36
408,MUTLU MH. 2. KATTA 3+1 SATILIK DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.450.000,110,125,3+1,3,3+1,1,27
409,FERAHEVLER SİTESİNDE GÜNEY DOĞU CPH. ŞEHİR MANZARALI FULL YAPILI,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.790.000,130,135,3+1,3,3+1,1,19
410,ZİRVEDEN BATI PROJESİ LÜKS YAPILI 5+1 SATILIK DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",3.800.000,175,200,5+1,5,5+1,2,35
411,CANDAN EMLAK'TAN 1.KAT ÖN CEPHE 3+1 TERAS BALKONLU CADDE ÜZERİ,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.250.000,120,135,3+1,3,3+1,2,31
412,GAZİOSMANPAŞA PYLON REZİDANS DA PENTHOUSE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",9.000.000,447,520,6+1,6,6+1,3,36
413,"NATURA ALACAATLI, 2+1 BAHÇE KULLANIMLI, DEPOLU SATILIK DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",3.900.000,106,110,2+1,2,2+1,2,15
414,YILDIRIM EMLAK'TAN ISTIKLALDE 3+1 LUX ORTA KAT SIFIR DAIRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.550.000,148,160,3+1,3,3+1,2,21
415,KEÇİÖRENDE  FULL YAPILI KREDİ SORUNU OLMAYAN  MASRAFSIZ SATILIK,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.650.000,135,145,3+1,3,3+1,2,22
416,''UZMANLAR G.Y.D.''30 AĞUSTOS MAH.DE MERKEZİ KONUMDA SATILIK 2+1,"Çiğdemtepe Yenimahalle
                                                 Ankara",850.000,95,100,2+1,2,2+1,1,32
417,YILMAZER GAYRİMENKUL'DEN CADDE ÜZERİ KATTA SATILIK DAİRE!!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.200.000,125,135,3+1,3,3+1,2,8
418,SATILIK DAİRE FİYATINA 1500 m² ARSAYA SAHİP 240 m² VİLLA,"Çiğdemtepe Yenimahalle
                                                 Ankara",4.500.000,240,270,5+1,5,5+1,2,24
419,"EGEMENDEN ARA KATTA FULL+FULL YAPILI CADDE YAKINI 3,5+1 DAİRE","Çiğdemtepe Yenimahalle
                                                 Ankara",1.799.000,140,165,3+1,3,3+1,2,25
420,SİNCAN DÜNYAGÖZ HASTANESİ YAKINI SATILIK 3+1 ÖN CEPHE DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",689.000,105,110,3+1,3,3+1,1,25
421,SİTE'DE ARA KATTA (3+1)-EBEVEYN BANYO+KİLER+3 BALKON.!,"Çiğdemtepe Yenimahalle
                                                 Ankara",1.049.000,135,145,3+1,3,3+1,2,16
422,SİNCAN MAREŞAL ÇAKMAK MAH.'DE ÖN CEPHE SATILIK 2+1 DAİRE,"Çiğdemtepe Yenimahalle
                                                 Ankara",619.000,88,98,2+1,2,2+1,1,17
