Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2019-20 Estimates,2018-19 Actuals,2017-18 Actuals,2016-17 Actuals,2015-16 Actuals,2014-15 Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,6503,"5,245",4893,5492,7414,7392,7315,6331,7599,6208,8060,12151,11500,12865,9495,8934,6581,6757,7458,7221,5651,6054,4873,4351,4271,5871
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Personal Service,State Operations Account,10050,State Purposes,28413,"27,105",28155,27374,25269,25828,24433,23878,18509,21529,23245,24685,23060,22052,21841,20335,19646,18752,19112,17590,15404,15392,14220,14104,15246,16788
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Block Grants Fund,25250,HHS Block Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Health and Human Services Fund,25100,Federal HHS,414,413,141,130,122,245,165,9,90,94,83,57,44,53,13,18,3,7,25,9,13,14,26,19,20,-7
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Indirect Costs,Federal Health and Human Services Fund,25100,Federal HHS,56,245,62,9,12,24,9,1,8,7,11,10,7,3,2,4,0,2,0,11,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,188,585,195,16,27,48,66,207,194,88,38,98,152,430,103,58,31,56,158,37,40,83,30,48,208,17
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,679,493,393,258,229,234,260,263,229,192,175,129,141,125,44,36,32,23,46,39,40,57,73,63,70,70
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,51,0,30,0,0,0,0,0,0,50,617,826,1082,501,519,398,158,278,209,251,200,260,224,206,208
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Grants to Local Gov.,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,212,1936,889,240,1370,9763,221,503,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,20,0,2,0,0,0,0,0,0,7,120,113,62,51,165,178,53,0,7,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,177,0,54,0,0,370,44,56,143,739,3674,4333,6299,7146,3585,3197,2882,2825,1874,2420,1899,1886,1223,1956,699
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,81,0,23,32,0,0,0,0,0,67,1378,1754,2460,1301,888,936,1413,1005,850,791,843,741,752,740,706
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,1667,"2,305",1899,1887,1934,1909,1597,1146,992,906,710,183,0,41,30,68,8,6,14,8,18,14,9,8,14,17
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Grants to Local Gov.,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Indirect Costs,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,224,"1,312",226,142,193,192,114,68,87,72,98,31,0,3,4,27,1,10,0,101,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,9348,"9,983",9576,8403,9057,8442,7255,8459,8523,9580,7478,6214,4562,4702,5334,5270,4586,4542,4148,2622,2318,2435,1520,1576,1710,1132
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Personal Service,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,2734,"3,154",3076,3384,3932,3084,2660,2732,2719,2103,1725,827,7,95,77,161,52,49,55,60,62,60,36,41,30,103
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal USDA / Food and Nutrition Services Fund,250FS,Federal Stimulu,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21948,Farm Prod Insp-,414,972,457,327,248,265,275,317,0,640,641,719,382,619,740,536,251,101,151,225,182,200,191,367,359,218
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21948,Farm Prod Insp-,22,18,0,3,0,14,8,15,5,62,57,64,33,50,62,55,31,17,0,31,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21948,Farm Prod Insp-,123,99,122,134,112,179,125,159,65,160,132,66,224,155,117,202,104,225,255,51,197,41,41,112,206,103
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21948,Farm Prod Insp-,648,769,749,866,551,649,1170,562,1125,1523,1717,1433,1191,972,1328,1282,1181,1204,983,839,941,924,1205,1090,1489,1469
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21950,FgrprintID&Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21950,FgrprintID&Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,20
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21950,FgrprintID&Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,133,91
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21966,Cons Food Indus,0,0,0,0,0,0,0,361,0,2570,2104,1174,1219,908,817,790,425,46,121,193,161,233,264,216,212,180
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21966,Cons Food Indus,0,0,0,0,0,0,0,32,95,194,176,110,102,74,71,77,46,9,0,27,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21966,Cons Food Indus,0,0,0,0,0,0,0,-2,192,452,565,201,470,-94,486,486,288,506,32,5,27,36,38,51,16,67
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21966,Cons Food Indus,0,0,0,0,0,0,0,612,4983,5181,5479,2865,2698,1948,1684,1352,1239,1489,373,623,425,775,712,698,606,684
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219XX,A&M-Aggregated,271,393,125,383,290,280,222,318,636,774,1002,559,653,793,463,485,223,203,-1,243,316,107,283,373,300,286
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,219XX,A&M-Aggregated,15,19,6,18,12,18,12,21,48,59,97,51,57,55,41,35,32,12,0,34,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219XX,A&M-Aggregated,14,10,11,6247,17460,15151,15920,13437,17322,18482,17561,15988,14002,13520,13564,16002,12051,15072,13922,11957,10508,10617,10449,10928,11767,11046
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219XX,A&M-Aggregated,425,349,354,659,547,409,492,408,1362,1562,1980,1556,1486,1290,1217,833,535,1020,458,682,869,721,667,946,1101,1032
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219ZR,Milk Producers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,29
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219ZR,Milk Producers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,19
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219ZR,Milk Producers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,71,110
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22011,Public Service,163,0,0,0,0,0,0,0,0,0,13,68,63,61,78,77,35,22,39,31,36,34,47,55,57,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22011,Public Service,9,0,0,0,0,0,0,0,0,0,1,5,5,5,7,8,4,3,0,4,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22011,Public Service,20,0,0,0,0,0,0,0,0,0,4,22,29,18,6,33,4,33,13,22,25,27,25,32,32,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22011,Public Service,255,0,0,0,0,0,0,0,0,0,0,145,136,137,141,138,134,134,128,125,114,126,113,165,183,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22020,Comm Feed Lic,0,0,0,0,0,0,0,0,19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22025,Comm Svce Assis,0,0,0,0,0,0,0,0,0,0,0,45,0,0,368,1214,1649,1138,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22029,Plant Industry,175,373,34,185,92,178,108,184,169,162,145,121,105,130,106,65,7,1,9,12,4,-2,17,24,21,15
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22029,Plant Industry,9,21,2,9,4,14,6,8,13,13,13,12,9,11,9,6,1,0,0,2,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22029,Plant Industry,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-27,99,1,1,1,102,3,3,3
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22029,Plant Industry,274,505,110,288,261,219,279,258,350,350,346,270,234,280,254,151,55,36,32,23,14,1,30,68,68,67
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22118,Animal Populati,0,0,0,0,0,0,0,0,0,0,7,42,49,25,29,36,20,20,35,25,23,14,13,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22118,Animal Populati,0,0,0,0,0,0,0,0,0,0,1,4,4,2,3,4,3,3,0,4,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22118,Animal Populati,867,867,867,867,850,684,867,974,1459,0,849,1094,930,419,361,290,210,273,381,425,425,474,271,50,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22118,Animal Populati,0,0,0,0,0,0,0,0,0,0,0,84,105,67,44,69,62,87,115,107,74,54,42,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22137,Pet Dealer,0,56,8,14,0,0,0,18,5,24,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22137,Pet Dealer,0,3,0,1,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22137,Pet Dealer,0,0,0,0,0,0,0,0,0,0,0,2,1,48,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22137,Pet Dealer,0,87,12,24,0,0,0,0,37,49,51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22149,Motor Fuel Qual,729,"1,131",554,722,770,517,602,444,480,491,538,594,545,495,614,572,266,165,287,220,260,225,296,271,245,165
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22149,Motor Fuel Qual,39,49,32,33,28,32,23,19,34,37,48,54,82,2,52,58,31,24,0,31,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22149,Motor Fuel Qual,1214,829,906,1123,854,980,754,1201,1980,736,1413,164,1433,634,933,918,851,708,883,1151,1000,796,1147,1103,1138,1184
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22149,Motor Fuel Qual,1142,"1,251",1166,1266,1115,980,915,1022,924,1067,1190,1299,1229,1066,1102,1048,989,1022,929,911,841,812,787,779,790,739
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22150,Weights Measure,141,157,77,88,117,138,76,112,50,88,89,87,74,80,90,78,42,32,61,45,51,48,66,58,51,40
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22150,Weights Measure,8,8,3,4,5,9,4,5,4,7,7,8,6,7,8,8,5,5,0,6,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22150,Weights Measure,101,49,50,78,83,50,48,114,-3733,30,68,43,120,25,29,73,50,203,58,7,18,39,66,72,82,94
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22150,Weights Measure,221,189,256,46,180,257,223,119,122,155,210,197,163,149,181,171,113,176,196,188,162,175,175,168,162,176
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22184,Wine Industry,0,0,0,0,0,0,0,0,0,0,0,38,197,1945,804,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22184,Wine Industry,0,0,0,0,0,0,0,0,0,0,0,95,156,59,4,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,2959,"3,380",3688,3276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,2043,1995,1449,1384,2096
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",General Fund,Personal Service,State Operations Account,10050,State Purposes,8316,"8,166",8131,7567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5732,5489,5728,6394,7637
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,37,22,25,13,0,0,0
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,7,0,0,0,0,0,0
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,41,3,30,49,41,0,48,0,0,0
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,53,0,127,86,50,95,0,0,0
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219WF,Delinq Credit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,44,3,35
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219WF,Delinq Credit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,90,26,9
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219WF,Delinq Credit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,67,111,56
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22033,Alcohol Beverag,0,0,0,121,4776,4541,4649,2921,3572,4125,4137,3762,3816,4022,3063,2743,2564,2612,2139,2321,2369,713,233,835,323,378
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22033,Alcohol Beverag,0,0,0,5,215,229,257,154,256,301,340,369,323,279,235,237,253,274,0,325,0,0,0,0,0,0
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22033,Alcohol Beverag,0,0,0,104,4664,5209,4953,4809,5068,3768,3697,4038,4234,3863,3002,3011,3277,2682,2953,2400,2417,1724,433,1035,89,255
Economic Development and Government Oversight,"Alcoholic Beverage Control, Division of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22033,Alcohol Beverag,0,0,0,175,7622,7657,8127,7511,7720,8512,8838,8853,7736,7554,7049,6744,6971,7730,8252,8057,7521,1864,1559,1762,1461,1382
Economic Development and Government Oversight,Banking Department,General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Banking Department,General Fund,Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,27,0,0,0,0
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,20130,St Transm Money,0,0,0,0,0,0,0,0,0,4,11,0,0,26,0,0,0,0,12,128,0,0,0,0,0,0
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,201AM,AM West Bond Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21970,Banking Deptmnt,0,0,0,0,0,0,0,0,0,22664,21049,16116,23369,18652,17797,16825,14071,13284,9458,11027,10148,9191,7928,9838,8625,8647
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21970,Banking Deptmnt,0,0,0,0,0,0,0,0,0,1661,1808,1486,1817,1478,1473,1582,1532,1508,0,1621,0,0,0,0,0,0
Economic Development and Government Oversight,Banking Department,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21970,Banking Deptmnt,0,0,0,0,0,0,0,0,0,12622,13406,15248,15707,15578,14041,14091,14335,16022,12459,10696,9954,11025,7593,8890,8823,9742
